Original,Translate,Translate_GPT_1
Or par che•ssia piaciuto al Salvatore,Ahora parece que le gustó al Salvador.,Ahora parece que le gustó al Redentor.
"D’averci qui condotti per vo’ dire,","de habernos traído aquí para hablar,",que nos guiaste hasta aquí para discutir.
E gastigar del vostro grande errore,y corregir su gran error,Corrección de su gran error
S’e’ vi piacie d’intender e d’udire».,Si os gusta escuchar y oír.,Si os gusta escuchar y sentir.
"O fatto, i’ sì son presto d’ubidire».","Ahora, estoy listo para obedecer.",Ahora estoy preparado para obedecer.
"Astinenza sì cominciò a parlare,","La abstinencia comenzó a hablar,",Empezó a distraerse.
"E disse: «La vertude più sovrana,","Y dijo: ""La virtud más soberana","Y proclamó: ""La cualidad más eminente"
"Che possa aver la criatura humana,",Que pueda tener una criatura humana,Que una persona posea
Si è della sua lingua rifrenare.,Es para controlar su lengua.,Es la de vigilar su habla.
"Sovr’ogn’altra persona, a noi sì pare,","A nosotros nos parece, más que a cualquier otra persona,","A nosotros nos parece, más que a nadie,"
Ch’esto peccato in voi fioriscie e grana;,que este pecado florezca y se multiplique en vosotros;,Que este error brote y se propague por ti.
"Se no ’l lasciate, egli è cosa ciertana","Si no lo dejan, él es algo seguro.","Si no lo abandonas, es inevitable."
"Che nello ’Nferno vi conviene andare,","que en el infierno les conviene ir,",Que en el infierno se le aconseja ir.
Ché pez’à c’una truffola levaste,Porque con un fraude habéis estafado,Porque con un engaño habéis engañado.
"Sopra ’l valetto, che vo’ ben sapete.","El valet, que usted conoce bien.","El sirviente, que usted sabe bien."
Con grande torto voi il difamaste,Le habéis difamado con gran equivocación.,Lo has calumniado injustamente.
"Ch’e’ non pensava a•cciò, che vo’ credete.",Diciendo que no pensaba en lo que creían.,Afirmando que no tenía en mente lo que usted cree.
"Bellacoglienza tanto ne gravaste,","Hermosa colegialidad tan oprimida,","Cálida bienvenida, muy oprimida."
Ch’ella fu messa là ove vo’ vedete».,que fue puesta donde la veis.,que ha sido colocada donde la ves.
Udendo Mala-Bocca c’Astinenza,Oyendo Malabocca que la abstinencia,Escuchando a Malabocca que Abstinencia
"Sì forte il biasimava, e riprendea,",Lo culpaba tan duramente.,Le reprendió tan severamente.
"Sì•ssi crucciò, e disse ch’e’ volea",Se entristeció y dijo que quería,Se afligió y declaró que deseaba
C’andasser fuor   della su’apartenenza:,que salieran de su casa:,que se apartaran de su morada.
«Vo’ credete coprir Bellacoglienza,"""Ustedes creen que están cubriendo Bellacoglienza","""Crees que estás ocultando Bellacoglienza"
"Di ciò, che quel valetto far credea.",Por lo que ese valet dijo que hizo.,Por lo que el siervo dijo que había hecho.
Bello dissi e dirò ch’ela volea,Les digo y repito que ella quería.,Declaré y repití que ella deseaba
"Donargli il Fior, e quest’era sua ’ntenza.","Darle la Flor, y esa era su intención.","Le regaló el cachorro, y ese era su propósito."
"Que’ lo ’nnerrò del bascio, quest’è cierto,","Eso le engañó con un beso, eso es seguro.","Eso hizo trampa con un beso, eso es indiscutible."
"Per ch’i’ vi dico, a voi divinatori,","Así que os digo, predicadores,","Por lo tanto, les insto a ustedes, los oradores."
Che questo fatto non fia già coverto.,que este hecho nunca será cubierto.,que este evento nunca será ocultado.
Vo’ mi parete due inganatori:,Parecéis dos estafadores:,Se ven como dos estafadores.
"Andate fuor di casa, che ’n aperto","Fuera de casa, porque abiertamente","Salid de casa, porque claramente"
Vi dico ch’i’ non vo’ tapinatori».,Les digo que no quiero estafadores.,Les digo que no quiero estafadores.
Falso-Senbiante disse: «Per merzede,"Falso-Senbiante dijo: ""Por favor","Falso-Simulador dijo: ""Por favor,"
"Vi priego, Malabocca, c’ascoltiate;","Por favor, Malabocca, escuchad.","Os lo suplico, Malvado, oid."
"Ché, quand’uon conta pura veritate,","Porque cuando alguien sólo dice la verdad,","Porque cuando alguien sólo cuenta la realidad,"
"Molt’è folle colu’, che no•lla crede.",Es una locura lo que no crees.,El que no la acepta está muy loco.
Vo’ sete ben ciertano che•ll’uon non vede,Usted está seguro de que el hombre no ve,Estáis absolutamente convencidos de que el hombre no siente
Che ’l valletto vi porti nimistade;,que el valet no os guarda rencor,que el siervo no tiene resentimiento
Sed egli amasse tanto l’amistade,Pero si amaba tanto la amistad,Pero si apreciaba tanto la amistad
"Del Fior, quanto vo’ dite, a buona fede,","de la Flor, como vosotros decís, con honestidad,","De la Flor, lo que usted dice, con honestidad."
"Egli à gran peza ch’e’ v’avria morto,",Tendría grandes razones para matarte.,Tendría una gran motivación para eliminarlos.
Avendogli voi fatto tal oltraggio.,Le hiciste tal desacato.,Ofenderle tan gravemente.
"Ma non vi pensa e non si n’è acorto,","Pero no lo piensa y no se da cuenta,",Pero no lo piensa ni se da cuenta.
E tuttor sì vi mostra buon coragio:,"y siempre os muestra buen coraje,",y siempre le demuestra buen valor.
"E’ servirebevi a dritto e a torto,","necesitas justamente e injustamente,",Usted necesita igual e injustamente.
"Come que’ ch’è cortese, e prode, e saggio».","como quien es cortés, valiente y sabio.","Qué amable, valiente y sabio."
Ser Malabocca si fu ripentuto,Ser Malabocca se arrepintió,Ser Malabocca se arrepintió.
"Di ciò, ch’egli avea detto o perpensato,","de lo que dijo o pensó,",de lo que ha afirmado o concebido
Ched e’ credette ben aver fallato;,creyendo que me equivoqué;,Persuadido de haber cometido un error.
Sì disse a Falsenbiante: «Il vostro aiuto,"dijo a Falsenbiante: ""Su ayuda","le dijo a Falsenbiante: ""Su contribución"
"Convien ch’i’ agia, ch’i’ non sia perduto».","Conviene que yo tenga, que no esté perdido","Es beneficioso que yo lo tenga, para que no sea dispersado."
"E, mantenente si fu inginochiato,",Y inmediatamente se arrodilló,Instintivamente se postró
E’ disse: «I’ si vogli’esser confessato,"Y dijo: ""Quiero ser confesado","""Y declaró: ""Deseo ser absuelto."""
"D’ognie peccato,   che m’è avenuto».",de todo pecado que he cometido,de toda transgresión que he cometido
"Astinenza-Costretta il prese allora,","La abstinencia-Costretta lo tomó entonces,","Excitación-Fuerza lo agarró entonces,"
"Che•ss’era molto ben sobarcolata,","porque era muy experta,",Ya que era muy experta.
E Falsenbiante col rasoio lavora:,Y Falsenbiante trabajaba con la navaja:,Falsenbiante se dedicaba al uso de la navaja de afeitar.
A Mala-Bocca la gola à tagliata.,En Malabocia la garganta está cortada,En Malabocia la garganta está cortada
E po’ ruper la porta san’ dimora:,Entonces rompieron la puerta de la casa.,Entonces rompieron la puerta de la casa.
Largheza e Cortesia l’àno passata.,Y la Ancho y la gentileza la pasarán,Amplitud y amabilidad la transmitirán.
Tutti quatro passarono il portale,Los cuatro pasarán por el portal.,Los cuatro cruzaron el umbral.
E si trovarono dentro a la porpresa.,y la sorpresa se encontraron dentro,y el descubrimiento se encontró dentro
"La Vechia, che del castro era sciesa,","La Vieja, que había bajado de la torre.","La Vieja, que había bajado de la torre."
"Quando gli vide, le ne parve male,","Cuando lo vio, se arrepintió.","Cuando lo vio, se arrepintió,"
Ma tuttavia non ne fecie segniale.,Pero sin embargo no hizo ninguna señal.,Pero no dio ninguna indicación.
"Largheza e Cortesia sì l’àno atesa,","Ancho y cortesía le esperaban,",Amplitud y amabilidad le esperaban.
"E disserle: «Madonna, san’ difesa","y dijeron: Virgen, sin defensa","Exclamaron: Santa, indefensa."
Potete prender quanto il nostro vale:,Puedes tomar todo lo que es nuestro.,Reúnan todo lo que nos pertenece.
"Chéd egli è vostro, sanza farne parte.",Porque él es vuestro sin ser parte de él,porque él es vuestro sin formar parte de él
"E sì ve ne doniàn già la sagina,","Y si ya os damos el saco,",Si ya le ofrecemos el bolso.
E sopra tutto vi vogliàn far carte».,"Y, sobre todo, queremos hacerles cartas.","Además, queremos hacerle felices con regalos."
"La Vechia, che sapea ben la dottrina,","La Vieja, que conocía bien la doctrina,","La anciana, que estaba bien informada de la doctrina,"
"Ché molte volte avea studiato l’arte,","porque muchas veces había estudiado el arte,",Puesto que a menudo había examinado el arte.
"Gline marzìa molto, e gline ’nchina.","Estaba muy molesta, y se inclinó.","Estaba muy irritada, y se inclinó."
Falsenbiante a la Vechia sì à detto:,Falsenbiante le dijo a la Vieja:,Falsificador exclamó a la anciana:
"«Per Dio, gientil madonna preziosa,","Por el amor de Dios, amable dama preciosa,","Por el amor de Dios, querida dama preciosa,"
"Che senpre foste e siete pietosa,","que siempre fuisteis y sois misericordiosa,","que siempre fuisteis y sois compasiva, misericordiosa."
Che vo’  agiate merzé del buon valletto!,¡Que tengáis piedad por el buen valet!,¡Que usted pueda mostrar compasión por el buen servidor!
Ch’e’ vi piaccia portarle un gioeletto,Que les guste llevarle una joya.,Que os guste regalar una gema
Da la sua parte a quella graziosa,de su parte a la bonita,De su parte a la encantadora
"Bellacoglienza, che gli fu nascosa,","Hermosa codicia, que se le escondió,","Bienvenido, que se le escondió."
De ch’egli à avuto il cuor molto distretto.,porque tiene el corazón muy distraído.,Porque él tiene un corazón muy distraído.
"Vedete qui fermagli, ch’e’ le manda,","Vean aquí los cierres que los envía,",Miren los accesorios que le envió.
"E queste anella, e questi intrecciatoi,","y estas anillas, y estos entrelazados,","Y estos anillos, y estas tramas"
Ancora questa tranobil ghirlanda.,Y también esta noble guirnalda.,Y también esta ilustre corona.
Il fatto suo si tien tratutto a voi;,Su hecho se le confía a usted;,Su tarea se le confía a usted;
Ciascun di noi  per sé ’l vi racomanda.,Cada uno de nosotros se lo recomienda a usted.,Cada uno de nosotros lo recomienda a usted.
Del fatto vostro penserén ben noi».,Nosotros pensamos muy bien de ustedes.,Pensamos muy bien en lo que ha pasado.
"La Vechia sì rispuose san’ tardare,","La Vieja respondió sin demora,","La Vieja respondió rápidamente,"
"Ché ’l male e ’l ben sapea, quantunque n’era:","Porque sabía lo bueno y lo malo, cualquiera que fuera:","Porque sabía lo bueno y lo malo, sea lo que fuera."
"«Vo’ mi fate così dolze preghera,","Vosotros me hacéis tan dulce oración,","Me hacéis tan amable súplica,"
Ch’i’ no lo vi saprei giamai vietare.,que nunca podría negarte.,que nunca podría declinar
Questi gioelli i’ sì vo’ ben portare,Quiero llevar estas joyas.,Quiero llevar estas joyas.
"E dargli nella più bella maniera,","y dárselas de la manera más bella,",y entregarlos de la manera más agradable.
"Che io potrò; ma una lingua fiera,","que yo pueda; pero una lengua orgullosa,","Que yo pueda, pero una lengua orgullosa."
"Che quaentr’è, mi fa molto dottare,","que aquí está, me hace mucho daño,","que aquí existe, me hace sufrir profundamente,"
"Ecciò è Malabocca maldiciente,","y este es Malabocca maldito,","Este es Malabocca calumniador,"
"Che truova ognie dì nuovi misfatti,","que cada día encuentra nuevos pecados,",Que cada día descubre nuevas maldades.
"Né non riguarda amico, né parente».",Ni respeta a un amigo ni a un pariente.,No observa ni amigo ni consanguineo.
"«No ’l ridottate più giamai a’ fatti,",No lo vuelvas a reducir a los hechos.,No lo limites nunca más a los detalles.
"Ché noi sì•ll’abiàn morto, quel dolente,","Porque nosotros le habríamos matado, ese dolorido,","Porque nosotros lo habríamos eliminado, ese despiadado."
Sanza ch’e’ ’n noi trovasse trieva o patti.,sin que encontrara tregua ni condiciones.,sin que encontrara alivio ni términos.
Ciertana mente noi gli abiàn seghata,Por supuesto que nosotras los separamos.,"Sin duda, mientras le cortamos."
"La gola, e’ giacie morto nel fossato.",Su garganta está muerta en el foso.,"la laringe, y está inerte en el barranco."
"E’ nonn-à guari che noi l’abiàn gittato,",No ha pasado mucho tiempo desde que lo tiramos allí.,No ha pasado mucho tiempo desde que lo arrojamos allí.
E ’l Diavolo si n’à l’anima portata».,Y el diablo se llevó su alma,y el demonio se ha apoderado del alma
La Vechia sì rispuose: «Or è amendata,"La anciana respondió: ""Ahora está resuelto","""La vieja respondió: ""Ahora está arreglado"""
"Nostra bisognia, po’ ch’egli è sì andato.","nuestro problema, ya que se ha ido","Nuestro dilema, porque se ha ido."
"Cholui, chu’ vo’ m’avete acomandato,","el que me habéis recomendado,",Lo que me habéis sugerido.
I’ metterò   in servirlo mia pensata.,Voy a servirle con todo mi empeño.,Yo me esforzaré por servirle con toda mi dedicación.
Dit’al valetto ch’i’ ne parleròe:,Dígale al valet que hablaré de ello.,Dígale al siervo que lo discutiré.
"Quando vedrò   che ’l fatto sia ben giunto,","Y cuando vea que el hecho está bien hecho,","Y cuando vea que la tarea se ha llevado a cabo,"
I’ tutta sola a chieder sì•ll’andròe».,Yo iré a verlo sola y pediré su ayuda.,Yo iré a pedirle su apoyo individualmente.
"Allor si parte, ed ivi fecie punto,","Entonces se separó y allí hizo un punto,",Entonces se dividió y allí puso un límite.
E tutti quanti a Dio gli acomandòe.,y a todos los que le recomendaron a Dios.,y a todos los que le aconsejó Dios.
Molto mi parve che ’l fatto sie ’n punto.,Parecía que el hecho estaba hecho.,Me pareció que la acción había terminado.
Dritta a la camera a la donna mia,"Directo a la habitación y a mi mujer,",Directo a la habitación y a mi señora.
"N’andò   la Vechia, quanto può, trotando,","La vieja se fue enseguida, todo lo que podía, trotando","La anciana se fue rápidamente, lo más rápido que pudo, galopando."
"E quella la trovò molto pensando,","y la encontró muy pensativa,",y la vio muy meditaborda.
Come se fosse d’una voglia ria.,Como si estuviera de mal humor.,Como si estuviera de mal humor.
"Crucciosa so ch’era, ché non ridea.",Estaba preocupada porque no se reía.,"Estaba ansiosa, porque no disfrutaba."
"Sì tosto alor la va riconfor’ dando,","Enseguida la anciana empezó a consolarla,",Inmediatamente la anciana empezó a consolarla a ella.
"E disse: «Figluola mia,   io ti comando","Y dijo: ""Hija mía, te ordeno","Y dijo: ""Hija, te mando"
Che•ttu nonn-entri già in malinconia;,que no entres en la melancolía;,Que no caigas en la tristeza
E ve’cciò che tu’ amico ti presenta».,"Y mira, aquí está tu amigo que te presenta.","Y mira, aquí está tu compañero que te presenta"
"Allor le mostra quelle gioielette,",Entonces le muestra unas joyas hermosas.,Entonces le hizo unas maravillosas joyas.
Pregando   la c’a prenderl’aconsenta:,"Por favor, acéptalo.","Te lo suplico, permites comprarlas."
«Reguarda com’elle son belle e nette».,Mira lo hermosas y limpias que están.,Examine lo hermosas e inmaculadas que son.
E quell’a domandar non fu già lenta,Y eso no fue lento en preguntar.,Y eso no fue demasiado tarde para preguntar.
"Chi era colui, che gliele tramette.",¿Quién era aquel que se las transmite?,¿Quién era el que se las transmitía?
"«Il bel valetto, di chu’ biasmo avesti","""El hermoso valet del que te quejaste,","El encantador sirviente del que te quejaste,"
"Giadiss’èsi colui, che•lle ti manda","Él es el que te lo envía,",Él es el autor del envío.
"E ’l rimanente, c’à, è a tua comanda.",Y el resto está a tu disposición.,Y el resto está a tu disposición.
Unquanche huon più cortese non vedesti:,Nunca has visto a nadie más cortés que él:,Nunca has visto a nadie más amable que él.
"E’ prieghati, se mai ben gli volesti,","Por favor, si alguna vez lo quieres,","Por favor, si alguna vez le quieres, suplica si alguna vez tienes afecto por él."
"Che, per l’amor di lui, questa ghirlanda","que por su amor tú, esta guirnalda,","que por su afecto tú, esta corona,"
Degie portare; e’ sì sé racomanda,"que la lleves contigo, y que se recomienda todo para ti","que la llevas contigo, y que todo depende de ti."
Del tutto atte: gran peccato faresti,Te harías un gran pecado a ti mismo.,Totalmente a ti: cometerías un grave error
Se ’l su’ presente tu gli rifusassi;,"Si le rechazara su regalo,",Si le negara su don.
"Ch’i’ son ciertana ch’e’ si disperebbe,","que estoy segura de que le importaría,",Estoy segura de que lo lamentaría.
Se•ttu così del tutto lo sfidassi;,si lo desafias de esta manera;,Si lo desafías de esta manera
"Ché quanto, ch’e’ potesse, e’ sì farebe","Porque haría todo lo que pudiera,",Porque haría todo lo que fuera posible.
"Per te, e sofferria che•llo ’ngaggiassi,","para ti, y soportaría que lo rechazaras,","Para ti, y toleraría que lo rechazaras."
"E, se ’l vendessi, sì gli piacierebe».","Y si la vendiera, le encantaría.","Y si la cediera, le encantaría."
"«Madonna, i’ dubito tanto Gielosia","""Madonna, dudo tanto de celos,","Santa, tengo fuertes sospechas de envidia,"
Ch’esto presente prender non osasse;,que no se atreva a aceptar este regalo;,Que no tuviera el valor de aceptar este don.
Ché•sse domane ella mi domandasse:,Porque si mañana me pregunta:,Si usted me interroga mañana
"“Chi ’l ti donò?”, io come le diria?».","¿Quién te lo dio?"" ¿Cómo le respondería?",¿Quién te lo dio? ¿Cómo le respondería?
"«Risposta buona i’ non ti cieleria,",Te daré una buena respuesta.,Te daré una respuesta adecuada.
"Che, s’ogni’altra risposta ti falasse,","que, si todas las demás respuestas fallaran,","En caso de que todas las demás alternativas no funcionen,"
"Sì dì almen ched i’ la ti donasse,",Sólo dices que te la dio.,Sólo dices que te la dio.
Ed i’ le dirò ben ch’e’ così sia».,Y le diré muy bien que es así.,Y le diré que es así.
"Allor la Vechia la ghirlanda prese,","Entonces la Vieja tomó la guirnalda,",Así que la anciana agarró la guirlanda.
E ’n su le treccie bionde a la pulciella,"y entre las trenzas rubias de la doncella,","Entre las trenzas doradas de la chica,"
"La puose, e quella   guar’ non si contese.","Metió la mano, y ella no luchó demasiado.","La ropa, y ella no se opuso demasiado."
"E po’ prese   lo spechio, e sì•ll’apella,","Luego tomó el espejo y la llamó,",Entonces agarró el espejo y la convocó.
"E disse: «Vien’ qua, figluola cortese,","Y dijo: ""Ven aquí, hija amable,","Y dijo: ""Ven aquí, hija gentil,"
Riguardati se•ttu sè punto bella!».,"¡Mírate si aún eres guapa!""",¡Muéstrate a ti misma si sigues siendo atractivo!
Alor Bellacoglienza più non tarda:,Entonces Bellacoglienza no tarda más:,"Por lo tanto, la acogida no se demora más."
"In mantenente lo spechi’ebe in mano,","se sostiene el espejo en la mano,",Se sujeta el espejo.
Si vide il viso suo umile   e piano;,se ve su rostro humilde y simple;,Se ve su rostro modesto e ingenuo.
Per molte volte nello spechio guarda.,Muchas veces en el espejo mira,"Examinar, escrutar, observar"
"La Vechia, che ll’avea presa en sua guarda,","La vieja que la agarró en su guardia,","La anciana que la tomó bajo su protección,"
"Le giura e dicie: «Per lo Dio sovrano,","le jura y le dice: ""Por el Dios soberano,","Le asegura y le dice: ""Para el Soberano Supremo,"
"Ch’unquanche Isotta, l’amica Tristano,","que Isolda, la amiga de Tristán,","que Isolda, la amiga de Tristán,"
"Come tussè, figluola mia gientile.",Como tú eres mi dulce hija.,Como tú eres mi adorable hija.
"Or convien che•ttu abie il mi’ consiglio,",Ahora mejor que tengas mi consejo.,Ahora es mejor que tomes mi sugerencia.
Che cader non potessi in luogo vile.,para no caer en un lugar vil.,Para no volver a caer en una situación innoble.
"Se non sai guar’, i’ non mi maraviglio,","Si no puedes curarte, no me sorprende.","Si no puedes curar, no me sorprende."
"Ché giovan uon non puot’esser sottile,","porque un hombre joven no puede ser astuto,",Porque un hombre joven no puede ser sagaz.
"Chéd i’, quanto più vivo, più asottiglio.","Porque cuanto más vivo yo, más me afinco.","Desde que yo, cuanto más me ejercito, más agudo me pongo."
"Figluola mia, cortese ed insegniata,","Hija mía, amable y educada,","Hija mía, amable y culta."
La tua gran gioia si è ancor a venire.,Tu gran alegría aún no ha llegado.,Tu gran alborozo aún no ha llegado.
"Or me convien me piangier e languire,",Será mejor que llore y languidezca.,Ahora mejor me quejo y me duele.
"Chélla mia sì se n’è tutta passata,","Porque la mía ha pasado,",Porque la mía se acabó.
"Né non fie mai per me più ritrovata,","y nunca volverá a ser encontrada para mí,","y nunca volverá a ser encontrada para mí,"
Chéd ella mi giurò di non reddire.,Porque me juró que no volvería.,Porque me prometió solemnemente que no volvería.
"Or n’ò ’n consigliar te, che dé’ sentire","Ahora tengo un consejo para ti, que tienes que escuchar.","Ahora tengo una sugerencia para ti, que tienes que considerar."
"Il caldo del brandone, che sie avisata","el calor de la pasión, para ser avisado","El calor del ardor, para ser informada"
Che non faciessi sì come fec’io:,No hagas lo que yo hice:,evitar replicar mis acciones
"De ch’i’   son trista, quand’e’ men rimenbra","de la que estoy triste, cuando recuerdo",Del que estoy afligido cuando me acuerdo
Ch’i’   non posso tornare a lavorio.,No puedo volver al trabajo.,Que no puedo reanudar el servicio.
Per ch’i’ te dico ben ched e’ mi senbra.,Así que te digo que me parece justo:,"Por lo tanto, te digo que me parece apropiado."
"Settu creder vorà’ ’l consiglio mio,","Si quieres creer en mi consejo,","Si quieres aceptar mi sugerencia,"
"Tu sì non perderai aver, né menbra.",No perderás riqueza ni fama.,No perderás ni el bienestar ni la notoriedad.
Se del giuoco d’amor i’ fosse essuta,Si yo fuera experta en el juego del amor,Si yo fuera experta en el arte amoroso
"Ben sagia, quand’i’ era giovanella,","Sabía que cuando era joven,",Sabía claramente cuando era joven.
"I’ sare’ richa più che damigiella,",Habría sido más rica que una dama de honor.,Habría sido más rica que una princesa.
"O donna, chettu agie ogi veduta:","Oh, mujer que has visto,","Oh, mujer a la que has visto,"
Ch’i’ fu’ sì trapiaciente in mia venuta,¿Por qué estaba tan encantador cuando llegué?,¿Por qué era tan atractivo cuando llegué?
Che per tutto corea la novella,que en todo el mundo la nueva,que en todo el mundo la historia
"Com’i’ era cortese, e giente, e bella.","De lo amable, amable y hermosa que era.","De lo amable, amable y atractiva que era."
"Macciò mi pesa, ch’i’ non fu’ saputa.",Pero me pesa que no me haya enterado.,Lamento que no haya tenido la habilidad.
"Or s’i’ mi doglio, quand’i’ mi rimiro",Ahora me quejo cuando me miro.,Me arrepiento cuando me observo.
"Dentro a lo spechio, ed i’ vego invechiarmi,",Entra en el espejo y me veo envejeciendo.,dentro del espejo y me veo envejeciendo.
Molto nel mi’ cuore me n’adiro.,Me enfado mucho en mi corazón.,Me enfurezco profundamente en mi alma.
"Ver è ched i’ di ciò non posso atarmi,",Es cierto que no puedo hacer nada al respecto.,Es innegable que no hay nada que hacer.
"Sì che per molte volte ne sospiro,",y así por muchas veces suspiro,y así por muchas veces el ansío
Quand’i’ vegio biltate abandonarmi.,Cuando veo mi belleza abandonarme.,Cuando veo mi magnificencia desaparecer.
"Per tutto ’l mondo i’ era ricordata,","En todo el mundo era recordada,","En todo el mundo era famosa,"
"Com’io t’ò detto, de la mia  bieltate,","Como te dije, por mi belleza,","Como te expliqué, por mi aventura,"
E molte zuffe ne fur cominciate,y muchas disputas han comenzado,y se han iniciado numerosas controversias
E molte gienti alcun’ora piagata;,y muchas personas han sido heridas;,y muchos individuos han sido lesionados;
"Ché que’, che mi crede’ aver più legata,",Porque los que creían que me habían atado,¿Por qué los que creían que me habían obligado
Assa’ mostrav’i’ più di duritate:,Les mostré más dureza:,Les he demostrado una mayor severidad.
"Le mie promesse gli venian fallate,",Mis promesas no se han cumplido.,Mis promesas no se han cumplido.
C’altre persone m’avieno inarrata.,Porque otras personas me habían engañado.,Porque otras personas me habían molestado.
Per molte volte m’era l’uscio rotto,Muchas veces mi puerta estaba rota.,En muchas ocasiones mi puerta estaba dañada.
"E tentennato, quand’io mi dormia;","y descarnada cuando dormía,",y desarraigada cuando dormía.
"Ma già per ciò io non faciea lor motto,",Pero no he hecho nada porque,"Pero no he hecho nada, porque"
"Perciò ched i’ avea altra conpagnia,",Así que tuve otra compañía.,Así que tenía otra compañía.
"A chui intender faciea, che ’l su’ disdotto",Le hice creer que su placer,Le hice creer que su bienestar...
"Mi piaciea più che null’altro, ch’e’•ssia.",Me gustaba más que nada.,Me entusiasmaba más que nada.
"I’ era bella, e giovane, e folletta,","Era guapa, joven y chistosa,","Era atractiva, joven y graciosa."
Ma non era a la scuola de l’Amore,Pero no estaba en la escuela del amor.,Pero no estaba en la escuela del afecto.
Istata; ma i’ so or ben per cuore,ha sido; pero ahora sé bien por el corazón,"Ha sido; sin embargo, ahora sé a fondo por ánimo."
"La pratica, la qual ti fie qui detta.",la práctica que te serán descritas aquí.,El ejercicio que se te explicará aquí.
"Usanza me n’à fatta sì savietta,",La costumbre me ha hecho tan experta.,La costumbre me ha hecho tan experta.
"Ched i’ non dotterei nessun lettore,","que no podría engañar a ningún lector,",que no podría engañar a ningún lector.
"Che di ciò mi faciesse desinore,","que de esto me hiciera un mal juicio,",que me diera una mala opinión sobre esto.
Ma’ ched i’ fosse bella e giovanetta:,Porque era guapa y joven.,Porque era atractivo y joven.
"Chéd egli è tanto ched i’ non finai,","Porque lo que he hecho es mucho,",Porque lo que he hecho es tan grande.
Che•lla scienza i’ ò nel mi’ coragio.,que el conocimiento o en mi coraje.,que el aprendizaje o en mi audacia.
"Sed e’ ti piacie, tu l’ascholterai,","Pero si te gusta, la escucharás.","Si te gusta, lo escucharás."
Ma i’ no•l’ebi sanza gran damagio:,Pero yo no la habría conseguido sin gran daño;,Pero yo no la habría obtenido sin gran sacrificio.
Molta pen’ e travaglio vi durai;,He sufrido mucho y he trabajado mucho;,He sufrido mucho y me he esforzado mucho.
"Ma pur e ’l mal se n’è mess’, e l’usagio.",Pero ahora el mal ha pasado y he adquirido experiencia.,"Sin embargo, ahora el dolor se ha ido y he ganado sabiduría."
"Molti buon’ uomini i’ ò già ’nghannati,","He engañado a muchos buenos hombres,",He estafado a muchos caballeros.
"Quand’i’ gli tenni ne mie’ lacci presi,","Cuando los tenía en mis cordones,",Cuando los tenía atrapados en mis lazos.
Ma prima fu’ ’ngannata tanti mesi,"Pero antes fui engañada durante muchos meses,",Pero primero me ilusioné durante muchos meses.
Che ’ più de’ mie’ sollazi eran passati.,que mis placeres ya habían pasado.,Que mis diversiones ya habían pasado.
Cientomilia cotanti e’ barattati,Cambiado cien mil de estos,Intercambiado cien mil de ellos.
"N’avrei, s’i’ a buon’ ora gli avesse tesi:","Tendría, si los hubiera tomado a tiempo;","Tendría, si los hubieras comprado rápido."
"E conti, e cavalieri, e gran borgesi,","y cuentas, caballeros y grandes burgueses,","y cuentas, nobles y ricos burgueses,"
Ch’e’ molti fiorin d’oro m’avrian dati.,que me darían muchos florines de oro.,que me darían una gran cantidad de florines de oro.
"Ma, quand’i’ me n’avidi, egli era tardi,","Pero cuando me di cuenta, era demasiado tarde,","Cuando me di cuenta, ya era demasiado tarde."
"Chéd i’ era già fuor di Giovaneza,",porque ya estaba fuera de la juventud,porque ya estaba más allá de la adolescencia
"Ed eranmi falliti i dolzi isguardi,","y mis dulces ojos habían fallado,",Y mis tiernas miradas estaban vacías.
Perché ’n sua balia mi tenea Vechieza.,Porque la vejez me mantenía en su poder.,porque la madurez me mantenía bajo su control.
"Or convien, figluola mia, che tu ti guardi,","Concuerda ahora, hija mía, que te cuides,","Es oportuno ahora, querida, que cuides de ti misma."
Chettu non ti conduchi a tale streza.,que no te llevas a tal situación.,que no estás actuando de esa manera.
"Molto mi dolea   il cuor, quand’i’ vedea",Mi corazón me dolía mucho cuando veía,Mi corazón sufría profundamente cuando observaba
"Chell’uscio mio stava in tal sogiorno,","que mi puerta estaba en un lugar como este,",Que mi puerta estaba en un lugar como este.
Ch’e’ vi solea   aver tal pressa ’ntorno,que estaba tan lleno alrededor de ella,que estaba tan lleno alrededor de ella
Che tutta la contrada ne dolea.,que toda la zona sufría.,que toda la región de los Países Bajos.
"Ma, quanto a me, e’ no•me ne calea,","Pero en cuanto a mí, no me importaba.","Sin embargo, a mí no me importaba."
"Ché troppo più piaciea   loro quel torno,","porque eso era demasiado agradable para ellos,","porque eso era demasiado agradable para ellos,"
"Ch’i’ era allora di sì grande attorno,","que era entonces tan grande alrededor,",que yo era entonces tan enorme alrededor.
Che tutto quanto il mondo mi’ parea.,que todo el mundo me parecía.,que todo el universo me parecía.
"Or convenia che di dolor morisse,","Ahora es mejor que muera de dolor,",Ahora es conveniente que muera de tristeza.
"Quand’i’ vedea   que’ giovani passare,","Cuando veía a esos jóvenes pasar,","Cuando miraba a esos chicos pasar,"
E ciaschedun parea   che mi schernisse.,Y todo el mundo parecía burlarse de mí.,Y todo el mundo parecía burlarse de mí.
“Vechia increspata” mi faciean chiamare,"""Viejo rizado"" me llamaban","""Anciana arrugada"" me llamaban."
