Original,Translate,Translate_GPT_1
I ben’ del padre sì ’l te ne rispazo.,Ich nehme ihr das Vermögen ihres Vaters weg.,Den Besitz des Vorvaters nehme ich ihm weg.
"E, se voi aveste nulla cosa a fare,","Und wenn Sie etwas zu tun haben,","Wenn Sie etwas zu tun haben,"
"Intorno di colui, con ch’i’ riparo,","um das herum, mit dem ich mich verbünde,","über das, mit dem ich interagiere,"
"Diràllami, faròlla capitare.","Sagen Sie es mir, ich werde es tun.","Informieren Sie mich, ich werde dies möglich machen."
Ma non convien mostrar   ch’e’ vi si’ amaro,"Aber du solltest nicht zeigen, dass du bitter bist.","Ihr wollt nicht beweisen, dass ihr verbittert seid."
"A larga mente sapermi donare,","Ich weiß sehr wohl, wie man mir spenden kann,","Großzügig, mir zu erlauben, meine Bitte zu erfüllen."
Ché ’l mi’ servigio i’ ’l vendo molto caro.,Weil ich meinen Dienst sehr teuer verkaufe.,Weil ich meinen Dienst zu einem hohen Preis anbiete.
"I’ sì son de’ valletti d’Antecristo,","Ich bin einer der Diener des Antichristen,",Ich bin ein Diener des Antichristen.
"Di quel’ ladron’, che dicie la,","Von dem Dieb, den sie sagen,","Über den Übeltäter, den man sagt."
"Ch’e’ fanno molto santa portatura,","die eine sehr heilig tragen,",Sie sehen sehr heilig aus.
E ciaschedun di loro è ipocristo.,Und jeder von ihnen ist ein Heuchler.,Und jeder von ihnen ist ein Fan.
"Agniol pietoso par, quand’uon l’à visto,","Sieht aus wie ein trauriges Lamm, wenn man es sieht.","Sieht aus wie eine unschuldige Kreatur, wenn man sie beobachtet."
Di fora sì fa dolze portatura,Draußen macht man eine süße Tür,Draußen gibt es eine nette Präsentation.
"Ma egli è dentro lupo, per natura,","Aber er ist in einem Wolf, von Natur aus,",Aber er ist in einem Wolf.
Che divora la giente Giesocristo.,der die Menschen Jesu Christi verzehrt.,Er unterwirft die Nachfolger Jesu Christi.
"Così abiamo inpreso mare e terra,","Also nahmen wir Meer und Land,",Auf diese Weise haben wir sowohl das Meer als auch die Erde erobert.
E sì facciàn per tutto ordinamento:,Und wir machen überall Befehle:,und wir schaffen überall Disziplin
"Chi no•l’oserva, diamo c’a fede erra.","Wer ihn nicht beobachtet, dem schaden wir mit einem Irrtum des Glaubens.","Wer ihn nicht respektiert, verurteilt ihn mit Leichtgläubigkeit."
"Tanto facciamo co•nostro tradimento,","Wir machen es mit unserer Tradition,","Wir tun es mit unserer Gewohnheit,"
"Che tutto ’l mondo à preso co•noi guerra,","Dass die ganze Welt uns besiegt hat,","dass die ganze Welt uns angegriffen hat,"
Ma tutti gli mettiamo a perdimento.,Aber wir alle ruinieren sie.,Aber wir verwüsten sie alle.
"Sed i’ truovo in cittade o in castello,","Aber wenn ich in der Stadt oder im Schloss bin,","Wenn ich in der Stadt oder in der Festung herausfinde,"
"Colà ove paterino sia riparato,","dort, wo der Vater Zuflucht hat,",Wo der Vorfahren Flüchtling ist.
"Credente ched e’ sia o consolato,","in der Überzeugung, dass es tröstend ist,","Er denkt, dass es ihm gut geht."
"Od altr’uon, ma’ ch’e’ sia mio ribello,","Oder ein anderer, der aber mein Rebell ist,","Anstelle eines anderen, aber das ist mein Rebell,"
"O prete ched e’ sia, o chericiello,","oder ein Priester oder ein Kleriker,","Ein Priester, ein Geistlicher,"
"Che tenga amica, o giolivo parlato,","Freundinnen zu halten oder fröhlich zu reden,",daß sie ihre Freundschaft bewahrt oder sich fröhlich äußert.
"E’ convien ch’e’ per me sia gastigato,","Und es ist besser, dass er für mich gezüchtigt wird,","Und es ist gut, dass ich bestraft werde."
"Ché ciaschedun mi dubita, sì son fello.","Denn jeder fürchtet mich, ich bin so böse.","Denn jeder fürchtet mich, ich bin so böse."
"Ancor gastigo altressì usurai,","Ich züchtige auch die Wucherer,",Ich bestrafe die Wucherer.
"E que’ che sopravendono a credenza,","und diejenigen, die den Glauben übertreffen,","und diejenigen, die die Überzeugung herausfordern."
"Roffiane, et forziere, e bordelai.","Diebe, Erpresser und Bordelle.","Die Räuber, die Einbrecher, die Wölfe."
E ’n ciascuno i’ ò malivoglenza;,Und in jedem habe ich schlecht gesinnt;,In jedem habe ich Groll.
"Ma che che duolo tu senti, no ’l dirai,","Aber was auch immer du fühlst, du wirst es nicht sagen,","Aber was auch immer du fühlst, du wirst es nicht ausdrücken."
Sì fortemente dotti mia sentenza.,So stark ist mein Urteil.,So entschieden ist mein Urteil.
"Que’, che vorrà canpar del mi’ furore,","Was Sie von meinem Zorn kaufen wollen,","Was Sie von meinem Zorn kaufen möchten,"
Eco qui preste le mie difensioni:,Hier sind meine Verteidiger.,Hier sind meine Anwälte.
"Grosse lanprede, over di gran salmoni","große Aale oder große Lachse,",Große Aale oder große Salmonellose.
"Aporti, lucci, sanza far sentore,","Glitzer, ohne Lärm,","glänzend, still,"
"La buona anguilla nonn-è già pegiore,","Der gute Aal ist nicht schon schlimmer,",Der gesunde Aal ist nicht schon unterlegen.
"Alose, o tinche, o buoni   storioni,","Alose oder Tinche oder gute Gerüchte,","Lachs, Forellen, herrliche Schwertfische."
"Torte battute, o tartere, o fiadoni:","Torten, Torten, Tartare oder Märchen:","Kuchen, Streiche, Trüffel oder Florentiner."
Queste son cose d’aquistar mi’ amore.,"Das sind Dinge, um meine Liebe zu erwerben.","Das sind Angebote, um meine Zuneigung zu gewinnen."
"O s’e’ mi manda ancor grossi cavretti,","Oder wenn er mir auch große Zicklein schickt,",Wenn Sie mir auch große Ziegen schicken.
"O gran capponi   di muda be nodriti,","oder große Kapuzen, die in jüngerer Zeit gewachsen sind,",riesige neu entwickelte Hähne
"O paperi novelli, o coniglietti.",Oder neue Häschen oder Häschen.,Junge Vögel oder Kaninchen.
"Da ch’e’ ci avrà di ta’ morse’ serviti,","Seit er sie mit diesen Mündern bedient hat,","Seitdem er sie mit dem Lächeln bedient hat,"
No gli bisognia di far gran disdetti:,Er braucht keine große Sache zu machen.,Er wird nicht viel Böses tun müssen.
"Dica ch’è guoco, e giuoca a tutti ’nviti.","Sagen Sie, es ist ein Spiel, und Sie spielen mit allen Gästen.","Sagen Sie, es ist ein Spaß, und Sie locken alle Anwesenden an."
"Que’, che non pensa d’aver l’armadure,","Was er nicht denkt, dass er die Rüstungen hat...","Der, der nicht glaubt, dass er Schutz hat."
"Ch’i’ v’ò contate, over preziosi vini,","die ich aufgezählt habe, oder kostbare Weine,","die ich aufgezählt habe, oder kostbare Nektar"
"Over di be’ sachetti di fiorini,","oder schöne Beutel aus Gulden,",Wunderschöne Taschen mit Gulden.
Le mie sentenze   lor fier troppo dure.,Meine Urteile werden für sie zu hart sein.,Meine Aussagen werden für sie zu streng sein.
"Né non si fidi già in ,",Und vertrauen Sie mir nicht.,Vertrau mir nicht.
"Ch’e’ saccian, ché, co•mie’ mastri divini,","die wissen, warum, wie meine göttlichen Lehrer,","Sie kennen, wegen, ähnlich wie meine ehrwürdigen Lehrer."
"I’ proverò ched e’ son paterini,","Ich werde beweisen, dass sie Väter sind,","Ich werde beweisen, dass sie Eltern sind."
"E farò lor sentir le gran calure,","Und ich werde sie die großen Flammen spüren lassen,",Und ich werde sie die gewaltigen Flammen spüren lassen.
"Od i’ farò almen ch’e’ fien murati,","oder ich werde sie wenigstens einmauern lassen,",Wenigstens lasse ich sie reinlegen.
"O darò lor sì dure   penitenze,","oder ich gebe ihnen so harte Buße,",Ich werde ihnen so strenge Sanktionen auferlegen.
Che me’ lor fora ch’e’ non fosser nati.,"""Dass es mir besser wäre, wenn sie nie geboren worden wären","Dass es mir besser wäre, wenn sie nie gezeugt würden."
"A Prato, ed a Arezo, e a Firenze","In Prato, Arezzo und Florenz","In Prato, Arezzo und Florenz: in der Nähe von, in der Nähe von, in der Nähe von."
N’ò io distrutti molti e iscacciati:,Ich habe viele von ihnen vernichtet und vertrieben;,Ich habe viele verwüstet und vertrieben.
"Dolente è que’, che cade a mie sentenze».","Traurig ist der, der unter meine Urteile fällt.","Schmerzhaft ist der, der unter meine Urteile fällt."
"«Dì, Falsenbiante, per gran cortesia,","""Sag bitte, Falsenbiante,","Sag's mir, du Lügner, bitte."
"Po’ ch’i’ t’ò ritenuto di mia giente,",Denn ich habe dich gehalten unter meinem Volk.,Denn ich habe dich bei meinem Volk bewahrt.
"E ò•tti fatto don sì bel’e giente,","Und ich habe dir so ein schönes Volk geschenkt,",Ich habe dir so ein nettes Volk geschenkt.
"Che•ttu sè Re della baratteria,","daß du der König des Betrugs bist,",Du bist der Herrscher der Täuschung.
"Afideròmi in te, o è follia?","Vertraue ich dir, oder ist das verrückt?","Ich vertraue dir an, oder ist das verrückt?"
"Fa che•ttu me ne facci conosciente,",Lass mich mit dir reden.,"Sag Bescheid, lass mich dich kennenlernen."
"Chéd i’ sarei doman troppo dolente,",Denn morgen wäre ich zu traurig.,Denn morgen wäre ich zu melancholisch.
Se•ttu pensassi a farmi villania».,"Wenn du daran denkst, mir weh zu tun""","Wenn du darüber nachdenkst, mir wehzutun"
"«Per Dio merzé, messer, non vi dottate,","""Bei Gott belohnt, zweifelt nicht,","Durch göttliche Gnade, Zögern Sie nicht,"
"Chéd i’ vi do la fé, tal com’i’ porto,","daß ich euch mein Wort gebe, wie ich es trage,","Ich versichere dir, ich fahre."
Ched i’ vi terrò pura lealtate».,"daß ich euch reine Treue bewahre.""","""dass ich euch bedingungslose Loyalität beweisen werde"""
"«Allor», sì disse Amor, «ogniò si’  acorto","""Dann,"" sagte Liebe, ""jeder wird bewaffnet","Also sagte Amore: ""Jeder soll sich rühmen."""
"D’armarsi con su’ arme devisate,",um sich mit seinen besonderen Waffen zu bewaffnen,Mit seinen eigenen Waffen ausrüsten.
"E vadasi al castel, che•ssì m’à morto».","und gehe zu dem Schloss, das mich getötet hat.""","""und das Schloss, das mich überwältigt hat"""
A l’armadure ciaschedun si prese:,Jeder nahm seine eigene Rüstung;,Jeder nahm sich seinen eigenen Anzug.
E’ sì s’armar co•molto gran valore,Sie bewaffneten sich mit großem Wert,Sie rüsteten sich mit großem Mut aus.
"Per dar a Gielosia pene e dolore,",Um Eifersucht zu geben Penis und Schmerz,Um Eifersucht Leiden und Qualen zuzufügen
Se contra lor stesse alle difese;,wenn sie sich gegen sie selbst verteidigen;,Wenn sie sich selbst verteidigen würden.
"Ed alcun prese   scudo, altro pavese,","Und einige nahmen Schilde, andere Schwerter,","Einige nahmen Schilde, andere Schneidwaffen."
"Ispade, e lancie, a molto gran romore,","und Speere, mit großem Lärm,","Und Speer, mit großem Gedränge."
Diciendo ciaschedun al Die d’Amore,und sprach zu dem Gott der Liebe:,indem sie den Herrn der Liebe anrufen
"Che quelle guardie saran morte, e prese.",Dass diese Wachen ermordet und erwischt werden.,dass diese Wachen ermordet und eingesperrt werden.
"Or sì vi conterò la contenenza,","Ich werde euch erzählen, was geschehen ist.","Jetzt erzähle ich Ihnen, was passiert ist."
Che Falsenbiante fecie in quella andata,Was Falsenbiante in dieser Richtung tat,Was Falsenbiante damals tat
Colla su’ amica Costretta-Astinenza:,mit ihrer Freundin Costretta-Assistenz:,Mit seiner Freundin Pflicht-Abstinenz.
"E’ non menar co•llor già giente armata,","Sie bewegten sich nicht mit diesen bewaffneten Leuten,","Sie bewegten sich nicht mit diesen bewaffneten Leuten,"
"Ma come giente di gran penitenza,","aber als Leute von großer Buße,","Aber als Menschen von großer Reue,"
Si mosser per fornir ben lor giornata.,"Sie gingen, um ihnen einen guten Tag zu bieten.","Sie zogen um, um ihnen einen wunderschönen Tag zu bieten."
"Astinenza Costretta, la primera,","Abstinenz Costella, die erste...","Gewaltige Abstinenz, die erste"
"Sì si vestì di roba di renduta,",er zog sich an und zog sich an.,Er kleidete sich in bescheidenen Kleidern.
"Velata che non fosse conosciuta,","so abgeschirmt, dass sie nicht erkannt wird,","versteckt, um nicht identifiziert zu werden."
Con un i•man faciea preghera;,mit einem Rosenkranz in der Hand betete;,mit einer Krone von Perlen in der Hand flehte er.
"La ciera sua non parea molto fera,","Ihr Aussehen schien nicht zu grausam,",Sein Aussehen schien nicht zu bedrohlich.
Anz’era humile e piana divenuta.,"Ja, er war demütig und einfach geworden.",Stattdessen wurde er demütig und bescheiden.
Al una filza avea penduta,Er hing einen Rosenkranz um den Hals,Er hing eine Gebetskrone um den Hals.
"Di paternostri, e ’l laccio di fil iera;",von Vaterunser und einer Drahtschnur aus Eisen,Vatergebet und eine Kette aus Metall.
Ed i•mano un bordone di ladorneccio,und in der Hand einen Stab aus Tannenholz,und in der Hand ein Rohr aus Tannenholz
"Portava, il qual le donò ser Baratto:","Sie trug, die ihr Mr. Baratto gegeben hatte:","Sie trugen sie, und Mr. Baratto gab sie ihr."
"Già non era di melo, né di leccio:",Es war weder Apfelbaum noch Steineichen:,Es war weder Apfel noch Buche.
"Il suocier le l’avea tagliato, e fatto;",Der Schwiegervater hatte sie abgehauen und getan.,Der Schwiegervater hatte sie abgeschnitten und produziert.
La scarsella avea piena di forneccio.,Die Tasche war voller gestohlener Waren.,Die Tasche war voller gestohlener Güter.
Ver’ Mala-Bocca andò per darli matto.,"Er ging nach Mala-Bocca, um auszuflippen.","Er ging nach Mala-Bocca, um verrückt zu werden."
"Falso-Senbiante, sì com’on di coro,","Falso-Senbiante, als Kirchenmensch","Falso-Senbiante, als religiöser Mann"
"Religioso, e di santa vita,",Religiös des heiligen Lebens,"Devot, fromm, gottverdammt."
S’aparechiò: e’ si avea vestita,"Er machte sich fertig, er hatte sich angezogen.",Er machte sich bereit. Er hatte sich gekleidet.
La roba frate Alberto d’Agi-moro;,mit den Kleidern des Mönchs Alberto d'Agi-moro;,mit den Kleidern des Mönchs Alberto d'Agi-moro.
Il su’ bordon non fu di secomoro,sein Stab war nicht aus Sicomor,Sein Stock war nicht aus Ahorn.
Ma di gran falsità ben ripulita;,"aber von großer, gut geschliffener Lüge;",aber von großer Lüge gut geglättet.
La sua scarsella avea pien’ e fornita,seine Tasche war voll und geliefert,Seine Tasche war gefüllt und gut ausgestattet.
Di tradigion più che d’argiento o d’oro;,Verrat mehr als Silber oder Gold;,Mehr Untreue als Geld oder Reichtum.
Ed una al collo tutta sola,"Und eins um den Hals, ganz allein.",Sie hatte eine Halskette.
"Portava, in seno avea rasoio taglente,","trug, in der Brust hatte er einen scharfen Rasierer,","Er trug, in seiner Brust hatte er einen scharfen Rasierer."
"Ch’e ’l fecie fabricare a Taglia-gola,","der in Tagliagola hergestellt wurde,",die er zu Tagliagola bestellte
Di che quel Malabocca maldiciente,mit dem diese böse Malabocca,Mit diesem bösartigen Murren
"Fu poi strangolato, ch’e’ tal gola",und wurde erwürgt; denn diese Kehle ward erwürgt.,Dann wurde er an seinem Hals erstickt.
Avea de dir male d’ognie giente.,Er hatte immer schlechte Worte über jedes Volk.,Er hatte immer harte Worte über jeden Menschen.
Così n’andaro in lor pellegrinagio,Also gingen sie auf ihre Pilgerreise,Sie begannen ihre Pilgerreise
La buona pellegrina e ’l pellegrino;,die gute Pilgerin und der Pilger;,Der freundliche Reisende und der Reisende.
"Ver’ Mala-Bocca tener lor camino,","und hielten ihren Weg nach Malabossa,",Auf dem Weg nach Malabossa gingen sie weiter.
Ch’e’ troppo ben guardava su’ passagio.,"Dass sie zu gut beobachtete, dass sie vorbeigingen.",die ihre Durchfahrt aufmerksam überwachte.
"E Falsenbiante, malizioso e sagio,","Und Falsenbiante, böse und schlau,","Furbaster, clever und bösartig,"
"Il salutò col capo molto chino,","Und er grüßte ihn mit seinem Kopf, sehr gebeugt,",Er nahm ihn mit einer tiefen Verbeugung auf.
"E’ sì gli dissi: «I’ son mastro divino,","und sprach zu ihm: Ich bin ein göttlicher Lehrer,","Er sagte zu ihr: ""Ich bin ein göttlicher Lehrer,"
Sì siàn venuti a voi per ostellagio».,"Wir sind aus Gastfreundschaft zu euch gekommen.""",Wir sind zur Begrüßung bei Ihnen angekommen.
"Mala-Bocca conobe ben Senbiante,","Mala-Bocca kannte Senbian gut,",Mala-Bocca wusste von Senbian.
Ma non ch’e’•ffose Falso; sì rispuose,"aber er wusste nicht, dass es falsch war; antwortete er.","Aber er wusste nicht, dass es falsch war; er antwortete"
C’ostel darebe lor: «Venite avante».,"dass er ihm Gastfreundschaft geben würde: ""Kommt nach vorn.""","dass er ihm Gastfreundschaft geben würde: ""Kommt rein."""
"Ad Astinenza molto mente puose,","Er kümmerte sich um Abstinenz,",Er kümmerte sich um Abstinenz.
"Ch’e’ veduta l’avea per volte mante,","die sie in der Vergangenheit gesehen hatte,",die er zuvor beobachtet hatte.
Ma per Costretta già mai no•lla spuose.,Aber Costella hatte noch nie etwas bemerkt.,Aber sie hatte noch nie etwas bemerkt.
Malabocca sì ’nchiede i pellegrini,Malabocca fragte die Pilger,Malabocca befragte die Wanderer
Di loro stato e di lor condizione;,ihren Status und ihren Zustand;,über ihre Lage und ihre Position.
E’ dimandò qual era la cagione,"Und er fragte, was der Grund sei.","und fragte, was der Grund sei."
Ch’e’ gli andavan sì matti e sì tapini.,Sie waren so verrückt und so arm.,Sie waren so verrückt und so arm.
"Que’ disser: «No’ sì siàn mastri divini,","Sie sagten: ""Wir sind keine göttlichen Lehrer,","Sie sagten: ""Wir sind keine himmlischen Herrscher,"
E sì cierchiamo in ognie regione,und wir suchen in jeder Region,Wir erforschen jeden Bereich und suchen in allen Bereichen.
"De l’anime, che vanno a perdizione,","die Seelen, die zum Verderben gehen,","Seelen, die zum Aussterben kommen,"
Per rimenargli a lor dritti camini.,um sie wieder auf ihre gerechten Pfade zu bringen.,Bringen Sie sie wieder auf den richtigen Weg.
Or par che•ssia piaciuto al Salvatore,Jetzt scheint es dem Erlöser gefallen zu haben.,Jetzt scheint es dem Erlöser gefallen zu sein.
"D’averci qui condotti per vo’ dire,","uns zu euch geführt zu haben, um zu reden,","Dass Sie uns hierher geführt haben, um zu diskutieren."
E gastigar del vostro grande errore,und korrigieren Sie Ihre großen Fehler,Richten Sie Ihren großen Fehler
S’e’ vi piacie d’intender e d’udire».,wenn Sie gerne hören und hören.,Wenn Sie gerne zuhören und fühlen.
"O fatto, i’ sì son presto d’ubidire».",Ich bin bereit zu gehorchen.,Jetzt bin ich bereit zu gehorchen.
"Astinenza sì cominciò a parlare,","Abstinenz fing an zu reden,",Er fing an zu reden.
"E disse: «La vertude più sovrana,",und sprach: Die höchste Tugend,"Und er verkündete: ""Die herausragende Qualität"
"Che possa aver la criatura humana,",die eine menschliche Kreatur haben könnte,Dass eine Person Besitz hat
Si è della sua lingua rifrenare.,"Es geht darum, seine Sprache zu kontrollieren.","Es geht darum, über seine Sprache zu wachen."
"Sovr’ogn’altra persona, a noi sì pare,","Uns scheint es, mehr als jeder andere Mensch,","Es erscheint uns, mehr als jeder andere,"
Ch’esto peccato in voi fioriscie e grana;,daß diese Sünde blühe und sich in euch vermehre;,Möge dieser Fehler sprossen und sich in euch ausbreiten.
"Se no ’l lasciate, egli è cosa ciertana","Wenn ihr ihn nicht verlasst, so ist er sicher.","Wenn Sie ihn nicht verlassen, ist es unvermeidlich."
"Che nello ’Nferno vi conviene andare,","daß ihr zur Hölle gehen wollt,",der euch in die Hölle gebracht werden soll.
Ché pez’à c’una truffola levaste,Denn mit einem Betrug habt ihr geschummelt.,Warum Sie mit einem Betrug getäuscht haben
"Sopra ’l valetto, che vo’ ben sapete.","Der Diener, den Sie kennen.","Der Diener, den ihr wisst."
Con grande torto voi il difamaste,Mit großem Unrecht habt ihr ihn verleumdet.,Ihr habt ihn ungerechterweise verleumdet.
"Ch’e’ non pensava a•cciò, che vo’ credete.","Er dachte nicht daran, was du glaubst.","Er sagte, er habe nicht im Sinn, was du denkst."
"Bellacoglienza tanto ne gravaste,","Schöne, so unterdrückte Schönheit,","Herzliche Gastfreundschaft, sehr unterdrückt."
Ch’ella fu messa là ove vo’ vedete».,"Dass sie dahin gebracht wurde, wo ihr sie seht.","Dass sie dort platziert wurde, wo ihr sie seht."
Udendo Mala-Bocca c’Astinenza,"Malabocca zu hören, dass Abstinenz","Zu hören Malabocca, die Abstinenz"
"Sì forte il biasimava, e riprendea,","Er schmähte ihn so hart,",Er tadelte ihn so streng.
"Sì•ssi crucciò, e disse ch’e’ volea","Er quälte sich und sagte, er wolle","Er trauerte und erklärte, er wünsche sich"
C’andasser fuor   della su’apartenenza:,dass sie aus seinem Haus flüchten:,daß sie von seiner Wohnung weggingen.
«Vo’ credete coprir Bellacoglienza,"""Glauben Sie, Schönheit zu bedecken","""Glauben Sie, Schönheit zu verbergen"
"Di ciò, che quel valetto far credea.","Für das, was der Diener gesagt hat, dass er es getan hat.","Für das, was dieser Diener angeblich getan hat."
Bello dissi e dirò ch’ela volea,"Ich sage Ihnen und wiederhole, dass sie wollte","Ich erklärte und wiederholte, daß sie es wünschte."
"Donargli il Fior, e quest’era sua ’ntenza.","Ihm die Blume zu geben, und das war seine Absicht.","Ihm den Bocciolo zu schenken, und das war sein Vorsatz."
"Que’ lo ’nnerrò del bascio, quest’è cierto,",Er hat sie mit einem Kuss getäuscht.,"Der hat mit einem Kuss geschummelt, das ist unbestreitbar."
"Per ch’i’ vi dico, a voi divinatori,","Ich sage euch, ihr Prediger,","Deshalb ermahne ich Sie, meine Vorredner."
Che questo fatto non fia già coverto.,Dass diese Tatsache nie abgedeckt werden wird.,Dieses Ereignis wird nie verborgen bleiben.
Vo’ mi parete due inganatori:,Ihr seht aus wie zwei Betrüger:,Ihr seid wie zwei Betrüger.
"Andate fuor di casa, che ’n aperto","Geht von zu Hause weg, denn offen","Gehen Sie von zu Hause aus, denn es ist klar"
Vi dico ch’i’ non vo’ tapinatori».,Ich will keine Betrüger.,"Ich sage Ihnen, ich will keine Betrüger."
Falso-Senbiante disse: «Per merzede,"Falsch-Sensation sagte: ""Bitte","Falsch-Simulator sagte: ""Bitte,"
"Vi priego, Malabocca, c’ascoltiate;","Bitte, Malabocca, hört zu.","Ich flehe euch an, Bösewicht, hört zu."
"Ché, quand’uon conta pura veritate,","Denn wenn jemand nur die Wahrheit erzählt,","Denn wenn jemand nur die Realität erzählt,"
"Molt’è folle colu’, che no•lla crede.","Es ist verrückt, wer es nicht glaubt.","Wer sie nicht akzeptiert, ist sehr verrückt."
Vo’ sete ben ciertano che•ll’uon non vede,"Sie sind sicher, dass der Mensch nicht sieht","Ihr seid absolut überzeugt, dass der Mensch es nicht spürt."
Che ’l valletto vi porti nimistade;,daß euch der Diener keinen Groll bringt,daß der Diener keinen Groll hat
Sed egli amasse tanto l’amistade,Aber wenn er die Freundschaft so sehr geliebt hätte,Aber wenn er die Freundschaft so sehr genossen hätte...
"Del Fior, quanto vo’ dite, a buona fede,","der Blume, so viel ihr sagt, in aller Aufrichtigkeit,","Die Blume, wie Sie sagen, ehrlich."
"Egli à gran peza ch’e’ v’avria morto,","Er hätte einen guten Grund, Sie zu töten.","Er hätte große Gründe gehabt, Euch zu eliminieren."
Avendogli voi fatto tal oltraggio.,Ich habe ihn so verärgert.,"Es ist so schlimm, ihn so zu beleidigen."
"Ma non vi pensa e non si n’è acorto,",Aber er denkt nicht darüber nach und merkt es nicht.,Aber er denkt nicht darüber nach und merkt es nicht.
E tuttor sì vi mostra buon coragio:,"und er zeigt euch immer guten Mut,",Und immer erweist er euch einen guten Wert.
"E’ servirebevi a dritto e a torto,","dient euch zu Recht und zu Unrecht,",Sie benötigen gerecht und ungerecht.
"Come que’ ch’è cortese, e prode, e saggio».","wie ein höflicher, tapferer und weiser Mensch.","Wie nett, mutig und weise."
Ser Malabocca si fu ripentuto,Ser Malabocca bereute,Ser Malabocca bedauerte.
"Di ciò, ch’egli avea detto o perpensato,","von dem, was er gesagt oder gedacht hat,","über das, was er gesagt oder geplant hat"
Ched e’ credette ben aver fallato;,"in der Überzeugung, dass ich mich geirrt habe;","Ich bin überzeugt, dass ich einen Fehler gemacht habe."
Sì disse a Falsenbiante: «Il vostro aiuto,und sprach zu Falsenbian: Eure Hilfe!,und sprach zu Falsenbian: Euer Beitrag
"Convien ch’i’ agia, ch’i’ non sia perduto».","Es ist gut, daß ich habe, daß ich nicht verloren bin.","Es ist von Vorteil, dass ich besitze, damit ich nicht vermisst werde."
"E, mantenente si fu inginochiato,",Und sogleich kniete er nieder,Instinktiv warf er sich nieder
E’ disse: «I’ si vogli’esser confessato,und sprach: Ich will gestanden werden,"""Und er sagte: ""Ich möchte freigesprochen werden."""
"D’ognie peccato,   che m’è avenuto».","von aller Sünde, die ich begangen habe","von allen Übertretungen, die ich begangen habe."
"Astinenza-Costretta il prese allora,","Abstinenz-Costretta nahm ihn dann,","Zärtlichkeit-Fremd packte ihn dann,"
"Che•ss’era molto ben sobarcolata,","denn sie war sehr erfahren,",Weil sie sehr erfahren war.
E Falsenbiante col rasoio lavora:,Und Falsenbiante arbeitete mit dem Rasiermesser:,Falsenbiante widmete sich der Verwendung von Rasiermesser.
A Mala-Bocca la gola à tagliata.,In Malabozia ist die Kehle durchgeschnitten.,In Malabozia ist die Kehle gemessert
E po’ ruper la porta san’ dimora:,Dann brachen sie die Haustür,Dann brachen sie die Haustür ein.
Largheza e Cortesia l’àno passata.,und Breite und Höflichkeit passieren sie,Größe und Freundlichkeit werden sie übertragen.
Tutti quatro passarono il portale,Alle vier werden das Portal durchqueren.,Alle vier überquerten die Schwelle.
E si trovarono dentro a la porpresa.,Und die Überraschung war drinnen.,Und die Entdeckung war drinnen.
"La Vechia, che del castro era sciesa,","Die Alte, die vom Turm herabgekommen war.","Die Alte, die vom Turm herabgekommen war."
"Quando gli vide, le ne parve male,","Als er ihn sah, tat er ihm leid.","Als er ihn sah, bereute er ihn,"
Ma tuttavia non ne fecie segniale.,Aber er machte kein Zeichen davon.,Aber er gab keinen Hinweis darauf.
"Largheza e Cortesia sì l’àno atesa,","Breite und Höflichkeit erwarteten ihn,",Größe und Freundlichkeit warteten auf ihn.
"E disserle: «Madonna, san’ difesa","und sprachen: Madonna, ohne Schutz!","Sie riefen aus: Heilige, hilflose."
Potete prender quanto il nostro vale:,"Ihr könnt alles nehmen, was uns gehört.","Sammelt alles, was uns gehört."
"Chéd egli è vostro, sanza farne parte.","Denn er ist euer, ohne ein Teil davon zu sein.","Denn er ist euer, ohne ein Teil davon zu sein."
"E sì ve ne doniàn già la sagina,","Und wenn wir euch schon den Mist geben,",Wenn wir Ihnen schon die Tasche anbieten.
E sopra tutto vi vogliàn far carte».,Und vor allem wollen wir euch Karten machen.,Außerdem möchten wir uns besonders mit Geschenken glücklich machen.
"La Vechia, che sapea ben la dottrina,","Die Alte, die die Lehre gut kannte,","Die Älteste, die gut über die Lehre informiert war,"
"Ché molte volte avea studiato l’arte,","denn er hatte oft Kunst studiert,",Weil er die Kunst oft untersucht hatte.
"Gline marzìa molto, e gline ’nchina.","Sie war sehr ärgerlich, und sie beugte sich nieder.","Sie war sehr verärgert, und sie beugte sich."
Falsenbiante a la Vechia sì à detto:,Falsenbiante sagte zu der Alten:,Falsificator sagte zu der Ältesten:
"«Per Dio, gientil madonna preziosa,","Um Himmels willen, liebe kostbare Dame,","Um Himmels willen, liebe kostbare Dame,"
"Che senpre foste e siete pietosa,","daß ihr immer bemitleidet seid und seid,",daß ihr immer mitfühlend und barmherzig seid.
Che vo’  agiate merzé del buon valletto!,Mögen Sie Gnade für den guten Diener haben!,"Möge es euch möglich sein, Mitleid mit dem guten Diener zu zeigen!"
Ch’e’ vi piaccia portarle un gioeletto,Dass du ihr gern ein Juwel bringst,Mögen Sie einen Edelstein zu schenken
Da la sua parte a quella graziosa,von ihm zu dieser hübschen,Von seiner Seite zu der wunderschönen
"Bellacoglienza, che gli fu nascosa,","Bellacoglienza, die vor ihm versteckt wurde,","Freundlicher Empfang, der vor ihm verborgen war."
De ch’egli à avuto il cuor molto distretto.,denn sein Herz ist sehr abgelenkt.,denn sein Herz ist sehr abgelenkt.
