Original,Translate,Translate_GPT_1
E si trovarono dentro a la porpresa.,et la surprise se trouva à l'intérieur,et la découverte se trouvèrent à l'intérieur
"La Vechia, che del castro era sciesa,","La Vieille, qui était descendue de la tour.","La Vieille, qui était descendue de la tour."
"Quando gli vide, le ne parve male,","Quand il l'a vu, il lui a fait du mal.","Quand il l'a vu, il l'a regretté,"
Ma tuttavia non ne fecie segniale.,Mais il n'en fit aucun signe.,mais il n'en a pas donné l'indication.
"Largheza e Cortesia sì l’àno atesa,",La largeur et l'aimablesse l'attendaient.,Largeur et gentillesse l'attendaient.
"E disserle: «Madonna, san’ difesa","Et ils dirent: Madonna, sans défense","Ils s'écrièrent: Sainte, sans défense."
Potete prender quanto il nostro vale:,Vous pouvez prendre tout ce qui est à nous.,Ramassez tout ce qui nous appartient.
"Chéd egli è vostro, sanza farne parte.",parce qu'il est à vous sans en faire partie,parce qu'il est à vous sans en faire partie intégrante
"E sì ve ne doniàn già la sagina,","Et si nous vous donnons déjà le sac,",Si on vous offre déjà le sac.
E sopra tutto vi vogliàn far carte».,"Et surtout, nous voulons vous faire des cartes.","En outre, nous souhaitons particulièrement vous rendre heureux avec des dons."
"La Vechia, che sapea ben la dottrina,","La Vieille, qui connaissait bien la doctrine,","La vieille femme, qui était bien informée de la doctrine,"
"Ché molte volte avea studiato l’arte,","parce qu'il avait souvent étudié l'art,",Parce qu'il avait souvent examiné l'art.
"Gline marzìa molto, e gline ’nchina.","Elle était très énervée, et elle s'est penchée.","Elle était très irritée, et elle se pencha."
Falsenbiante a la Vechia sì à detto:,Falsenbiante a dit à la vieille:,Falsificateur s'exclama à l'ancienne:
"«Per Dio, gientil madonna preziosa,","Pour l'amour de Dieu, gentille dame précieuse,","Pour le ciel, chère dame précieuse,"
"Che senpre foste e siete pietosa,","que vous étiez toujours et que vous étiez pitoyable,","que vous étiez toujours et que vous étiez compatissant, miséricordieux."
Che vo’  agiate merzé del buon valletto!,Que vous puissiez avoir pitié du bon valet !,Que vous puissiez manifester de la compassion pour le bon serviteur!
Ch’e’ vi piaccia portarle un gioeletto,Que vous aimiez lui apporter un bijou,Que vous aimiez donner un joyau
Da la sua parte a quella graziosa,de sa part à la jolie,De sa part à la charmante
"Bellacoglienza, che gli fu nascosa,","Bellaconglienza, qui lui fut cachée,","Accueil aimable, qui lui a été caché."
De ch’egli à avuto il cuor molto distretto.,parce qu'il a le cœur très distrait.,Car il a le cœur très distrait.
"Vedete qui fermagli, ch’e’ le manda,",Vous voyez ici les verrous qu'il envoie.,Regardez les accessoires qu'il lui a envoyés.
"E queste anella, e questi intrecciatoi,","et ces anelles, et ces tressailles,","et ces anneaux, et ces trames"
Ancora questa tranobil ghirlanda.,Et cette noble guirlande aussi.,Et cette illustre couronne aussi.
Il fatto suo si tien tratutto a voi;,C'est à vous qu'il revient de faire ce qu'il a fait;,Sa tâche vous est confiée;
Ciascun di noi  per sé ’l vi racomanda.,chacun de nous le recommande à vous.,Chacun de nous le recommande à vous.
Del fatto vostro penserén ben noi».,Nous pensons qu'il s'agit d'un fait.,Nous pensons bien de votre arrivée.
"La Vechia sì rispuose san’ tardare,","La vieille répondit sans tarder,","La vieille a répondu rapidement,"
"Ché ’l male e ’l ben sapea, quantunque n’era:","parce qu'il connaissait le bien et le mal, quoi qu'il fût:","Car il connaissait le bien et le mal, quoi que ce soit."
"«Vo’ mi fate così dolze preghera,","Vous me faites une si douce prière,",Vous me suppliez si gentiment.
Ch’i’ no lo vi saprei giamai vietare.,que je ne pourrais jamais te refuser.,que je ne pourrais jamais décliner
Questi gioelli i’ sì vo’ ben portare,"Ces bijoux, je veux bien les porter.","Ces bijoux, je veux porter"
"E dargli nella più bella maniera,","et leur donner de la plus belle façon,",et les livrer de la manière la plus agréable.
"Che io potrò; ma una lingua fiera,","que je puisse; mais une langue fière,","Que je puisse, mais une langue fière."
"Che quaentr’è, mi fa molto dottare,","qu'il y a ici, il me fait beaucoup souffrir,","qui existe ici, me fait souffrir profondément,"
"Ecciò è Malabocca maldiciente,","et voici Malabocca maladroite,","Voici Malabocca calomniateur,"
"Che truova ognie dì nuovi misfatti,","qui trouve chaque jour de nouveaux méfaits,",qu'il découvre de nouveaux malfaiteurs tous les jours.
"Né non riguarda amico, né parente».",Il ne respecte ni l'ami ni la famille.,n'observe ni ami ni consanguinité.
"«No ’l ridottate più giamai a’ fatti,",Ne le remettez plus jamais aux faits.,Ne le limite plus jamais aux détails.
"Ché noi sì•ll’abiàn morto, quel dolente,","parce que nous l'aurions tué, ce malheureux,","Parce qu'on l'aurait éliminé, ce raté."
Sanza ch’e’ ’n noi trovasse trieva o patti.,sans qu'il ne trouve de trêve ou de conditions.,sans qu'il trouve le soulagement ou les termes.
Ciertana mente noi gli abiàn seghata,"Bien sûr, nous l'avons scié.","Sans aucun doute, alors que nous lui avons coupé."
"La gola, e’ giacie morto nel fossato.","la gorge, et il est mort dans le fossé.","le larynx, et il est inerte dans le ravin."
"E’ nonn-à guari che noi l’abiàn gittato,",Il n'y a pas si longtemps qu'on l'a jeté là-bas.,Ça n'a pas duré longtemps depuis qu'on l'a jeté là-bas.
E ’l Diavolo si n’à l’anima portata».,et le diable s'en est emparé de son âme.,et le démon s'en est emparé de l'âme.
La Vechia sì rispuose: «Or è amendata,"La vieille femme répondit: "" Maintenant, c'est réglé","""La vieille a répondu: ""Maintenant, c'est réglé."""
"Nostra bisognia, po’ ch’egli è sì andato.","notre problème, parce qu'il est parti","Notre dilemme, car il est parti."
"Cholui, chu’ vo’ m’avete acomandato,","celui que vous m'avez recommandé,",Ce que vous m'avez suggéré.
I’ metterò   in servirlo mia pensata.,Je vais le servir avec tout mon engagement.,Je m'efforcerai de le servir avec tout mon dévouement.
Dit’al valetto ch’i’ ne parleròe:,Dites au valet que j'en parlerai.,Dites au serviteur que j'en parlerai.
"Quando vedrò   che ’l fatto sia ben giunto,","et quand je verrai que le fait est bien accompli,","et quand je verrai que la tâche a été accomplie,"
I’ tutta sola a chieder sì•ll’andròe».,J'irai le chercher moi-même.,Je me rendrai auprès de lui pour implorer son soutien.
"Allor si parte, ed ivi fecie punto,","Alors il se sépara, et là il fit un point,",Alors elle s'est divisée et a mis une limite là-bas.
E tutti quanti a Dio gli acomandòe.,"et à tous, il lui recommanda Dieu.",et Dieu lui conseilla à tous.
Molto mi parve che ’l fatto sie ’n punto.,Il m'a semblé que c'était fait.,Il me semblait que l'action était terminée.
Dritta a la camera a la donna mia,"Tout droit dans la chambre et ma femme,",Tout droit dans la chambre et ma dame.
"N’andò   la Vechia, quanto può, trotando,","La vieille s'en alla aussi vite qu'elle le pouvait, en trottant.","La vieille s'en alla rapidement, aussi vite qu'elle le pouvait, galopant."
"E quella la trovò molto pensando,","et la trouva très pensive,",et la vit très méditabonde.
Come se fosse d’una voglia ria.,Comme si elle était de mauvaise humeur.,Comme si elle était de mauvaise humeur.
"Crucciosa so ch’era, ché non ridea.","Elle était inquiète, car elle ne riait pas.","Elle était anxieuse, car elle ne jouissait pas."
"Sì tosto alor la va riconfor’ dando,","Soudain, la vieille a commencé à la réconforter.","Immédiatement, la vieille femme a commencé à la consoler."
"E disse: «Figluola mia,   io ti comando","Et il dit: Ma fille, je t'ordonne","Et il prononça: ""Ma fille, je t'ordonne"
Che•ttu nonn-entri già in malinconia;,que tu n'entres pas dans la mélancolie;,Que tu ne tombes pas dans la tristesse
E ve’cciò che tu’ amico ti presenta».,"Et regarde, voici ton ami qui te présente.","Et regarde, voici ton copain qui te présente."
"Allor le mostra quelle gioielette,",Elle vous montre de beaux bijoux.,Alors il lui a donné de magnifiques bijoux.
Pregando   la c’a prenderl’aconsenta:,"S'il vous plaît, acceptez de les prendre.","Je t'en supplie, laisse-moi les acheter."
«Reguarda com’elle son belle e nette».,Regarde comme elles sont belles et propres.,Voyez à quel point elles sont magnifiques et immaculées.
E quell’a domandar non fu già lenta,Et elle n'a pas été lente à demander,Et elle n'a pas tardé à demander
"Chi era colui, che gliele tramette.",qui était celui qui les lui transmet?,Qui était celui qui les lui transmettait?
"«Il bel valetto, di chu’ biasmo avesti","""Le beau valet dont tu t'es plaint,","Le joli serviteur dont tu t'es plaint,"
"Giadiss’èsi colui, che•lle ti manda","C'est lui qui te l'envoie,",C'est l'auteur de l'envoi.
"E ’l rimanente, c’à, è a tua comanda.",et le reste est à votre disposition.,et le reste est à votre disposition.
Unquanche huon più cortese non vedesti:,Tu n'as jamais vu quelqu'un de plus poli que lui.,Tu n'as jamais vu quelqu'un de plus gentil que lui.
"E’ prieghati, se mai ben gli volesti,","S'il te plaît, si tu l'aimes,","S'il te plaît, si tu l'aimes, supplie-le si tu as de l'affection pour lui."
"Che, per l’amor di lui, questa ghirlanda","que pour son amour, cette guirlande,","que par son affection, toi, cette couronne,"
Degie portare; e’ sì sé racomanda,"que tu l'emmènes avec toi, et qu'on te recommande tout.","Que tu la transportes avec toi, et qu'elle te confie tout."
Del tutto atte: gran peccato faresti,Tout à toi: tu ferais un grand péché,Tout à vous: vous commettrez une grave erreur
Se ’l su’ presente tu gli rifusassi;,"Si je lui refuse son cadeau,",Si je lui déniais son don.
"Ch’i’ son ciertana ch’e’ si disperebbe,","que je suis sûre qu'il serait désolé,",Je suis sûre qu'il serait désolé.
Se•ttu così del tutto lo sfidassi;,"Si tu le défiais de cette façon,",Si tu le défies de cette façon
"Ché quanto, ch’e’ potesse, e’ sì farebe","parce qu'il ferait tout ce qu'il pourrait,",Parce qu'il ferait tout ce qui est possible.
"Per te, e sofferria che•llo ’ngaggiassi,","pour toi, et il supporterait que tu le refuses,","Pour toi, et il tolérerait que tu le rejettes."
"E, se ’l vendessi, sì gli piacierebe».","Et si je la vends, il aimerait.","Et si je l'abandonnais, il l'apprécierait."
"«Madonna, i’ dubito tanto Gielosia","""Madonna, je doute de la jalousie,","Sainte, j'ai de grands soupçons d'envie,"
Ch’esto presente prender non osasse;,que je n'ose pas accepter ce cadeau;,Que je n'aie pas le courage d'accepter ce don.
Ché•sse domane ella mi domandasse:,Parce que si vous me demandiez demain:,Si vous m'interrogez demain
"“Chi ’l ti donò?”, io come le diria?».","""Qui t'a donné ça ?"" Comment lui dirais-je ?",Qui t'a donné ça ? Comment lui dirais-je ?
"«Risposta buona i’ non ti cieleria,",Je vais te donner une bonne réponse.,Je te donnerai une réponse appropriée.
"Che, s’ogni’altra risposta ti falasse,","qui, si toutes les autres réponses t'échouent,","Si toutes les autres options ne fonctionnaient pas,"
"Sì dì almen ched i’ la ti donasse,","Tu dis juste qu'il te l'a donnée,",Vous dites simplement qu'il vous l'a donné.
Ed i’ le dirò ben ch’e’ così sia».,Et je vous dirai bien que c'est le cas.,Et je vous informerai que c'est le cas.
"Allor la Vechia la ghirlanda prese,","Alors la vieille fille prit la guirlande,",Alors l'Aînée a saisi la guirlande.
E ’n su le treccie bionde a la pulciella,"et parmi les chevilles blondes de la jeune fille,","Parmi les tresses dorées de la fille,"
"La puose, e quella   guar’ non si contese.",""" a - t - elle dit, et elle n'a pas trop protesté.","les vêtements, et elle n'a pas trop objecté."
"E po’ prese   lo spechio, e sì•ll’apella,","Puis il prit le miroir et l'appela,",Puis il saisit le miroir et la convoqua.
"E disse: «Vien’ qua, figluola cortese,","Et il dit: Viens ici, fille polie,","Et il a dit: ""Viens ici, fille gentille,"
Riguardati se•ttu sè punto bella!».,"Regarde si tu es toujours belle !""",Vois si tu es toujours séduisante.
Alor Bellacoglienza più non tarda:,Alors Bellacoglienza ne tarde plus:,"Par conséquent, l'accueil ne tarde plus."
"In mantenente lo spechi’ebe in mano,","il tient le miroir dans sa main,",Il tient le miroir.
Si vide il viso suo umile   e piano;,on voit son visage humble et simple;,il voit son visage humble et naïf.
Per molte volte nello spechio guarda.,Plusieurs fois dans le miroir regarde,"Examine, scrute, observe"
"La Vechia, che ll’avea presa en sua guarda,","La vieille qui l'avait gardée,","La vieille qui l'avait prise sous sa protection,"
"Le giura e dicie: «Per lo Dio sovrano,","elle lui jure et lui dit: ""Pour le Dieu souverain,","Il lui assure et lui dit: ""Pour le Souverain Suprême,"
"Ch’unquanche Isotta, l’amica Tristano,","qu'Isotta, l'amie de Tristan,","qu'Isotta, l'amie de Tristan,"
"Come tussè, figluola mia gientile.",Comme tu es ma gentille fille.,Comme tu es ma fille adorable.
"Or convien che•ttu abie il mi’ consiglio,",Tu ferais mieux d'avoir mon conseil.,"Maintenant, il faut que tu prennes ma suggestion."
Che cader non potessi in luogo vile.,pour ne pas tomber dans un lieu vile.,Pour ne pas retomber dans une situation ignoble.
"Se non sai guar’, i’ non mi maraviglio,","Si tu ne sais pas guérir, je ne suis pas surpris,","Si tu ne peux pas guérir, je ne suis pas surpris."
"Ché giovan uon non puot’esser sottile,","parce qu'un jeune homme ne peut être intelligent,",Parce qu'un jeune homme ne peut pas être sagace.
"Chéd i’, quanto più vivo, più asottiglio.","Car moi, plus je vis, plus je m'affinerai.","Depuis que j'ai plus d'armée, plus je deviens aigu."
"Figluola mia, cortese ed insegniata,","Ma fille, polie et instruite,","Ma fille, gentille et cultivée."
La tua gran gioia si è ancor a venire.,Ta grande joie doit encore venir.,Ta grande joie doit encore arriver.
"Or me convien me piangier e languire,",Je ferais mieux de pleurer et de pleurer.,Je ferais mieux de me plaindre et de souffrir.
"Chélla mia sì se n’è tutta passata,","Car la mienne est passée,",Car la mienne est finie.
"Né non fie mai per me più ritrovata,","et elle ne sera plus jamais retrouvée pour moi,","et elle ne sera plus jamais retrouvée pour moi,"
Chéd ella mi giurò di non reddire.,Parce qu'il m'a juré de ne pas revenir.,parce qu'il m'a promis solennellement de ne pas revenir.
"Or n’ò ’n consigliar te, che dé’ sentire","Maintenant, j'ai un conseil pour toi, que tu dois écouter.","Maintenant, j'ai une suggestion pour toi, que tu dois prendre en considération."
"Il caldo del brandone, che sie avisata","la chaleur de la passion, pour être avertie","La chaleur de l'ardeur, pour être informée"
Che non faciessi sì come fec’io:,de ne pas faire comme moi:,Eviter de reproduire mes actions
"De ch’i’   son trista, quand’e’ men rimenbra","dont je suis triste, quand je me souviens","J'en suis affligé, quand je me souviens"
Ch’i’   non posso tornare a lavorio.,Je ne peux pas retourner travailler.,Je ne peux pas reprendre le service.
Per ch’i’ te dico ben ched e’ mi senbra.,Donc je te dis que ça me semble juste:,"Par conséquent, je vous dis que cela me semble approprié."
"Settu creder vorà’ ’l consiglio mio,","Si tu veux croire mon conseil,","Si tu veux accepter ma suggestion,"
"Tu sì non perderai aver, né menbra.",Tu ne perdras ni richesse ni gloire.,Tu ne perdras ni bien-être ni notoriété.
Se del giuoco d’amor i’ fosse essuta,Si j'étais experte dans le jeu de l'amour,Si j'étais experte en art amoureux
"Ben sagia, quand’i’ era giovanella,","Je savais, quand j'étais jeune,",Je savais clairement quand j'étais jeune.
"I’ sare’ richa più che damigiella,",J'aurais été plus riche qu'une demoiselle d'honneur.,J'aurais été plus riche qu'une princesse.
"O donna, chettu agie ogi veduta:","ou femme que tu as jamais vue,","Ou femme que tu as jamais vue,"
Ch’i’ fu’ sì trapiaciente in mia venuta,Parce que j'étais si captivante à mon arrivée.,Parce que j'étais si séduisante à mon arrivée.
Che per tutto corea la novella,qui dans le monde entier la nouvelle,qui dans le monde entier l'histoire
"Com’i’ era cortese, e giente, e bella.","Comme j'étais gentille, gentille et belle.","Comme j'étais gentille, aimable et attirante."
"Macciò mi pesa, ch’i’ non fu’ saputa.",Mais ça me pèse que je n'ai pas entendu.,Je regrette que je n'aie pas eu la capacité.
"Or s’i’ mi doglio, quand’i’ mi rimiro",Je me plains quand je me regarde.,Je regrette quand je regarde
"Dentro a lo spechio, ed i’ vego invechiarmi,","dans le miroir et je me vois vieillir,",à l'intérieur du miroir et je me vois vieillir.
Molto nel mi’ cuore me n’adiro.,Je m'énerve dans mon cœur.,Je m'énerve profondément dans mon esprit.
"Ver è ched i’ di ciò non posso atarmi,",Il est vrai que je ne peux rien y faire.,Il est indéniable qu'il n'y a rien à faire.
"Sì che per molte volte ne sospiro,",et ainsi souvent soupirer,et ainsi beaucoup de fois anime
Quand’i’ vegio biltate abandonarmi.,Quand je vois ma beauté m'abandonner.,Quand je vois ma magnificence disparaître.
"Per tutto ’l mondo i’ era ricordata,","Dans le monde entier, j'étais rappelée,",J'étais célèbre dans le monde entier.
"Com’io t’ò detto, de la mia  bieltate,","Comme je te l'ai dit, pour ma beauté,","Comme je vous l'ai expliqué, par mon aventure,"
E molte zuffe ne fur cominciate,et beaucoup de disputes ont été commencées,et de nombreuses controverses ont été lancées
E molte gienti alcun’ora piagata;,et beaucoup de personnes ont été blessées;,et de nombreuses personnes ont été blessées;
"Ché que’, che mi crede’ aver più legata,",Car ceux qui croyaient m'avoir attachée,Parce que ceux qui croyaient m'avoir liée
Assa’ mostrav’i’ più di duritate:,Je leur ai montré plus de dureté:,Je leur ai montré plus de sévérité.
"Le mie promesse gli venian fallate,","Mes promesses ne se sont pas réalisées,","Mes promesses ne se sont pas réalisées,"
C’altre persone m’avieno inarrata.,parce que d'autres personnes m'avaient trompée.,Parce que d'autres personnes m'ont tourmentée.
Per molte volte m’era l’uscio rotto,"Plusieurs fois, ma porte était cassée.","Pour de nombreuses occasions, ma porte était endommagée."
"E tentennato, quand’io mi dormia;","et éparpillée quand je dormais,",et déracinée quand je dormais.
"Ma già per ciò io non faciea lor motto,",mais je n'ai rien fait parce que,mais je n'ai rien fait parce que
"Perciò ched i’ avea altra conpagnia,",C'est pourquoi j'avais une autre compagnie.,Donc j'avais une autre compagnie.
"A chui intender faciea, che ’l su’ disdotto",Je lui ai fait croire que son plaisir,Je lui ai fait croire que son bien-être
"Mi piaciea più che null’altro, ch’e’•ssia.",Je l'aimais plus que tout.,J'étais plus enthousiaste que tout.
"I’ era bella, e giovane, e folletta,","J'étais belle, jeune et blagueuse,","J'étais attirante, jeune et drôle."
Ma non era a la scuola de l’Amore,mais il n'était pas à l'école de l'amour,Mais il n'était pas à l'école de l'affection.
Istata; ma i’ so or ben per cuore,elle a été; mais maintenant je sais bien par coeur,"Elle a été; cependant, je sais maintenant à fond pour l'âme."
"La pratica, la qual ti fie qui detta.",la pratique qui vous sera décrite ici.,L'exercice qui vous sera illustré ici.
"Usanza me n’à fatta sì savietta,",La coutume m'a rendue si experte.,L'habitude m'a rendue si experte.
"Ched i’ non dotterei nessun lettore,","que je ne pourrais tromper aucun lecteur,",que je ne pourrais tricher aucun lecteur.
"Che di ciò mi faciesse desinore,","qu'il me fasse un mauvais jugement,",que cela me donne une mauvaise opinion.
Ma’ ched i’ fosse bella e giovanetta:,Mais parce que j'étais belle et jeune.,Mais parce que j'étais attirante et jeune.
"Chéd egli è tanto ched i’ non finai,","Parce que ce que j'ai fait est tellement,",Parce que ce que j'ai fait est si grand.
Che•lla scienza i’ ò nel mi’ coragio.,que la connaissance ou dans mon courage.,que l'apprentissage ou dans mon audace.
"Sed e’ ti piacie, tu l’ascholterai,","Mais si tu l'aimes, tu l'écouteras,","Si tu l'aimes, tu l'écouteras."
Ma i’ no•l’ebi sanza gran damagio:,Mais je ne l'aurais pas obtenue sans grand dommage;,Mais je ne l'aurais pas obtenue sans grand sacrifice;
Molta pen’ e travaglio vi durai;,J'ai beaucoup souffert et j'ai beaucoup travaillé;,J'ai souffert intensément et j'ai fait beaucoup d'efforts.
"Ma pur e ’l mal se n’è mess’, e l’usagio.",Mais maintenant le mal est passé et j'ai acquis de l'expérience.,"Cependant, maintenant la douleur a disparu et j'ai gagné de la sagesse."
"Molti buon’ uomini i’ ò già ’nghannati,",J'ai trompé beaucoup de bons hommes.,J'ai escroqué de nombreux gentlemen.
"Quand’i’ gli tenni ne mie’ lacci presi,","Quand je les gardais dans mes lacets,",Quand je les gardais coincés dans mes liens.
Ma prima fu’ ’ngannata tanti mesi,"Mais avant, j'ai été trompée pendant tant de mois,","Mais avant, j'ai été trompée pendant des mois."
Che ’ più de’ mie’ sollazi eran passati.,que mes plaisirs étaient déjà passés.,que mes divertissements étaient déjà passés.
Cientomilia cotanti e’ barattati,Une centaine de milliers d'entre eux ont été échangés,Il a échangé cent mille d'entre eux.
"N’avrei, s’i’ a buon’ ora gli avesse tesi:","J'aurais, si je les avais pris à temps;","J'aurais, si je les avais eus rapidement."
"E conti, e cavalieri, e gran borgesi,","et comptes, cavaliers et grands bourgeois,","et comptes, nobles et riches bourgeois,"
Ch’e’ molti fiorin d’oro m’avrian dati.,qui me donneraient beaucoup de florins d'or.,qui me donneraient une grande quantité de florins d'or.
"Ma, quand’i’ me n’avidi, egli era tardi,","Mais quand je l'ai vu, c'était trop tard.","Quand je me suis rendu compte, il était déjà trop tard."
"Chéd i’ era già fuor di Giovaneza,",Parce que j'étais déjà hors de ma jeunesse,Parce que j'étais déjà au-delà de l'adolescence
"Ed eranmi falliti i dolzi isguardi,","et mes doux regards avaient échoué,",et mes tendres regards étaient vides.
Perché ’n sua balia mi tenea Vechieza.,Parce que la vieillesse me tenait en son pouvoir.,parce que la maturité me tenait sous son contrôle.
"Or convien, figluola mia, che tu ti guardi,","Il convient maintenant, ma fille, que tu te préoccupes de moi,","Il est temps, ma chère, que tu prennes soin de toi."
Chettu non ti conduchi a tale streza.,que tu ne t'en mêles pas.,Que tu n'agis pas comme ça.
"Molto mi dolea   il cuor, quand’i’ vedea",Mon cœur me détestait quand je voyais,Mon cœur souffrait profondément quand je regardais
"Chell’uscio mio stava in tal sogiorno,","que ma porte était dans un tel lieu,",que ma porte était dans un endroit pareil.
Ch’e’ vi solea   aver tal pressa ’ntorno,qui était si bondé autour d'elle,qu'il était si bondé autour d'elle
Che tutta la contrada ne dolea.,que toute la région en souffrait.,que l'ensemble de la région en question.
"Ma, quanto a me, e’ no•me ne calea,","Mais moi, je m'en fichais.","Cependant, je m'en fichais."
"Ché troppo più piaciea   loro quel torno,","parce que c'était trop agréable pour eux,","parce que c'était trop agréable pour eux,"
"Ch’i’ era allora di sì grande attorno,","que j'étais alors si grand autour,",que j'étais alors si énorme autour.
Che tutto quanto il mondo mi’ parea.,que le monde entier me semblait.,que tout l'univers m'apparaissait.
"Or convenia che di dolor morisse,",Il est temps qu'il meure de douleur.,"Maintenant, il faut qu'il meure de tristesse."
"Quand’i’ vedea   que’ giovani passare,","Quand je voyais ces jeunes passer,","Quand je regardais ces enfants passer,"
E ciaschedun parea   che mi schernisse.,Et tout le monde semblait se moquer de moi.,Et tout le monde semblait se moquer de moi.
“Vechia increspata” mi faciean chiamare,On m'appelait Vieille Crêpe.,"""Aînée rugeuse"" m'appelait."
"A colu’ solamente, che giadisse","À lui seul, qui une fois","À qui seul, qui autrefois"
Più carnalmente mi solea   amare.,Il m'aimait plus charnellement.,Il m'aimait plus sensuellement.
Ancora d’altra parte cuore humano,"D'un autre côté, le cœur humain","D'une autre perspective, le cœur humain"
"Non penserebe il gran dolor, ch’i’ sento,",ne penserait pas la grande douleur que je ressens,Vous n'imaginez pas la tristesse profonde que je ressens.
Tratutte l’ore ch’i’ ò pensamento,De toutes les heures que je pensais,De tous les moments que j'ai médités
"De’ be’ basciar’, che m’ànno dato mano.",Les jolis baisers qu'ils m'ont donnés.,aux petits baisers qu'on m'a donné.
"Ogni’ Sollazo m’è ogi lontano,","Chaque plaisir m'est maintenant loin,","Chaque amusement m'est maintenant éloigné,"
Ma non Ira e Dolori e Gran-Tormento:,mais pas la colère et la douleur et le grand tourment:,mais pas l'indignation et la souffrance et la grande agonie
Costor si ànno fatto saramento,Ils ont prêté serment.,Ils ont fait une promesse solennelle.
Ch’i’ non uscirò lor mai di tra mano.,Que je ne sortirai jamais de leurs mains.,Que je n'échapperai jamais à leurs griffes.
"Or puo’ veder com’i’ son arivata,","Maintenant tu peux voir comment je suis arrivée,",Maintenant tu peux voir comment je suis arrivée.
"Né al mi’ mal nonn-à altra cagione,","Et mon mal n'a pas d'autre cause,",Ma souffrance n'a pas d'autre origine.
Se non ched i’ fu’ troppo tosto nata.,Sauf que je suis née trop tôt.,Sauf que je suis venue trop tôt au monde.
Ma sapie ched io ò ferma intenzione,Mais sache que j'ai l'intention ferme.,Mais sache que j'ai l'intention de le faire.
"Ch’i’ sarò anchor per te vendicata,",Que je serai vengée pour toi aussi.,Que je serai revendiquée pour toi aussi.
Settu ben riterrai la mia lezione.,Si tu considères bien ma leçon.,Si tu regardes attentivement ma leçon.
Non ne pos’altrementi far vengianza,Je ne peux pas me venger autrement.,Je ne peux pas me venger autrement.
"Se non per insegniarti mia dottrina,","Si je ne t'enseigne pas ma doctrine,",À moins de t'instruire avec ma philosophie.
Perciò che•llo me’ cor sì m’indovina,Parce que mon cœur me devine,Parce que mon cœur m'incarne
Chettu darai lor ancor gran micianza,"Que tu leur donneras encore une grande défaite,",Que tu leur infligeras une autre grande défaite.
"A que’ ribaldi, che tanta viltanza",A ceux qui se moquent de toi.,À ces dissidents qui avaient lancé tant d'offenses
Me dicieano da sera e da mattina.,Ils me disaient le soir et le matin.,Ils me conseillaient le soir et le matin.
"Tutti gli meterai anche a la china,",Tu les mettras tous à terre.,"Tu les mettras à terre, tu les mettras à terre."
Se•ttu sa’ ben tener la tua bilanza.,Si tu sais tenir ta balance.,Si tu sais tenir ta balance.
"Ché sie ciertana, s’i’ fosse dell’agio,","Pour être sûre, si j'étais capable,","Pour que ce soit absolu, si je pouvais,"
"Figluola mia, che tu•ssè or presente,","Ma fille, que tu es maintenant présente,","Ma fille, que tu sois présente,"
"Ch’i’ gli pagherè’ ben di lor oltragio,",Je les paierais bien pour leur outrage.,Je les récompenserais généreusement pour leur offense.
"Sì che ciascuno farè’ star dolente,","Pour que tout le monde soit blessé,",Pour que chacun soit affligé.
"Già tanto non sareb’e’ pro’ né sagio,",Il ne serait ni prudent ni sage.,"De toute façon, il ne serait ni avisé ni sagace."
Ched i’ non ne faciesse pan-chiedente.,Que je n'en fasse pas partie.,Que je n'en supplie pas.
"In gran povèrta tutti gli metesse,","Je les mettrais tous dans une grande pauvreté,",Je les mettrais dans une grande misère.
"Sì come t’ò di sopra sermonato,","Comme je l'ai dit,","Comme je vous l'ai expliqué,"
E’ si sarebe il primo dispogliato,Et ce serait le premier à être déshabillé.,Et ce serait le premier à être déshabillé.
"Colui, che più cara mi tenesse.",Celui qui m'aimait le plus.,Celui qui m'était le plus précieux.
"Di nessun mai pietà non mi prendesse,",Je n'aurais jamais eu pitié de personne.,Je n'aurais jamais eu pitié de personne.
Ché ciaschedun vorrè’ aver disertato:,Parce que j'aimerais avoir déserté:,Parce que j'aurais voulu éviter tout ça.
Ché sie ciertana ch’e’ nonn-è peccato,Pour être sûre que ce n'est pas un péché,Pour s'assurer que ce n'est pas une faute
"Punir la lor malatia, chi potesse.","Punir leur maladie, qui que ce soit.","Chasser leur maladie, n'importe qui."
Ma e’ non dubitan guari mia minacia,Mais ils n'ont pas peur de ma menace.,Ils ne sont pas effrayés par mon intimidation.
"Né non fan forza di cosa, ch’i’ dica,","Et ils ne font pas la force de ce qu'il dit,","Ils ne tiennent pas compte de ce que je dis,"
Per ciò ch’è troppo crespa la mia facia.,Parce que mon visage est trop crépu.,Parce que mon visage est trop rugueux.
"Figliuola mia, se Dio ti benedica,","Ma fille, si Dieu te bénisse,","Ma fille, si Dieu te donne sa bénédiction,"
"I’ non so chi vendetta me ne faccia,",Je ne sais pas qui me venge.,Je ne sais pas qui me fait justice.
"Se non tu, ch’i’ per me son troppo antica.","Si ce n'est pas toi, que je suis trop vieille pour moi.","Si ce n'est pas toi, que je suis trop vieille pour moi."
"Molte volte mi disse quel ribaldo,","Plusieurs fois, il m'a dit ce salaud.","Plusieurs fois, il m'a dit ce vilain."
"Per chu’ i’ ebi tanta pena e male,",C'est pourquoi j'ai eu tant de chagrin et de mal.,C'est pourquoi j'ai ressenti une grande tristesse et une grande souffrance.
