input|target
I know how you feel, but it's over.|So come ti senti, però è finita.
It's been ten years since he died.|Sono passati dieci anni da quando è morto.
Tom danced with Mary all evening.|Tom ballò con Mary per tutta la sera.
I'll be back in four or five days.|Io sarò di ritorno tra quattro o cinque giorni.
When was it that you first met her?|Quand'è stata la prima volta che l'ha incontrata?
Tom's parents weren't very happy.|I genitori di Tom non erano molto felici.
I have a nice present to give you.|Ho un bel regalo da darvi.
Tell Tom you're too tired to help.|Dite a Tom che siete troppo stanchi per aiutare.
I wanted to tell you how sorry I am.|Io volevo dirle quanto mi dispiace.
Have you ever slept on the street?|Lei ha mai dormito per strada?
Tom always goes fishing by himself.|Tom va sempre a pescare da solo.
Tom started seeing hallucinations.|Tom ha cominciato a vedere delle allucinazioni.
We were greatly amused by her story.|Noi eravamo molto divertiti dalla sua storia.
Tom has been to Boston many times.|Tom è stato a Boston molte volte.
I'd like to have dinner with you.|Vorrei cenare con te.
She made the same mistake as before.|Ha fatto lo stesso errore di prima.
She killed herself by taking poison.|Lei si è uccisa prendendo del veleno.
Why don't you take your temperature?|Perché non si misura la temperatura?
I couldn't get Tom out of my mind.|Non riuscivo a togliermi dalla testa Tom.
Your being here means a lot to me.|La vostra presenza qui vuole dire molto per me.
Tom may not be as rich as he seems.|Tom può non essere ricco come sembra.
I don't know why I woke up so early.|Non so perché mi sono svegliato così presto.
Tom doesn't have any friends here.|Tom non ha amici qui.
Why don't you give it another try?|Perché non ci prova un'altra volta?
Tom is probably still in Australia.|Tom probabilmente è ancora in Australia.
I forgot my French textbook at home.|Ho dimenticato il mio libro di Francese a casa.
He affirmed that he saw the crash.|Lui affermò di aver visto l'incidente.
Tom wants to be popular at school.|Tom vuole essere popolare a scuola.
I think that Tom is still skeptical.|Penso che Tom sia ancora scettico.
He knows how to interrogate people.|Lui sa come interrogare le persone.
Tom is liable to do that, isn't he?|Tom è incline a farlo, vero?
Tom seems like an intelligent man.|Tom sembra un uomo intelligente.
Could you please provide a citation?|Potrebbe fornire una citazione, per favore?
Things are never black and white.|Le cose non sono mai nere e bianche.
What'll you be doing this summer?|Tu che cosa farai quest'estate?
I don't have enough money to buy it.|Non ho abbastanza soldi per comprarlo.
Tom has never been in any trouble.|Tom non è mai stato nei guai.
I know that Tom used to be a priest.|So che Tom era un prete.
Tom will soon be able to go home.|Tom sarà presto in grado di andare a casa.
I sometimes still think about her.|A volte penso ancora a lei.
They didn't know what to do first.|Non sapevano cosa fare per primo.
That's what they said on television.|È quello che hanno detto in televisione.
Which country is this coffee from?|Da che paese viene questo caffè?
Tom is pretty dependable, isn't he?|Tom è piuttosto affidabile, vero?
She couldn't suppress her emotions.|Non è riuscita a reprimere le sue emozioni.
Isn't it true that you own a gun?|Non è vero che lei possiede una pistola?
The girl is smelling the flowers.|La ragazza sta annusando i fiori.
If you do that, Tom will get angry.|Se lo fate, Tom si arrabbierà.
Tom should be able to do that now.|Tom dovrebbe essere in grado di farlo adesso.
My best friend died of asphyxiation.|Il mio migliore amico è morto per asfissia.
I wonder what Tom is thinking now.|Mi chiedo cosa stia pensando Tom ora.
I don't want to talk about my child.|Non voglio parlare di mio figlio.
I saw Tom swimming across the river.|Io ho visto Tom attraversare il fiume a nuoto.
Do you know what's happened to Tom?|Voi lo sapete cos'è successo a Tom?
Tom played the guitar and Mary sang.|Tom suonava la chitarra e Mary cantava.
Tom has only three months to live.|Tom ha solo tre mesi di vita.
You should turn off your cell phone.|Dovreste spegnere il cellulare.
It's only the poor who are generous.|Sono solamente i poveri che sono generosi.
Invite us to dinner at a restaurant.|Ci inviti a cena in un ristorante.
I don't have time for guests today.|Io non ho tempo per gli ospiti oggi.
Are you for or against the project?|È favorevole o contraria al progetto?
Tom has got to be here somewhere.|Tom deve essere qui da qualche parte.
Tom said his house wasn't damaged.|Tom disse che la sua casa non era danneggiata.
Can you iron these clothes for me?|Puoi stirarmi questi vestiti?
Tom said Mary was good at French.|Tom ha detto che Mary era brava in francese.
Tom says he's done nothing wrong.|Tom dice che non ha fatto nulla di sbagliato.
How long have you been doing this?|Da quanto lo sta facendo?
I'm about as qualified as Tom is.|Io sono qualificato quasi quanto Tom.
I'm an avid reader of biographies.|Sono un avido lettore di biografie.
Send it to me as a compressed file.|Me lo mandi come un file compresso.
Ask Tom if he'll attend the meeting.|Chiedi a Tom se parteciperà alla riunione.
Tom interviewed the Jackson family.|Tom intervistò la famiglia Jackson.
Noodles are usually made from wheat.|Solitamente gli spaghetti sono prodotti a partire dal grano.
She cannot have done such a thing.|Non può aver fatto una cosa del genere.
I study about two hours every day.|Io studio circa due ore al giorno.
I was following Tom's instructions.|Stavo seguendo le istruzioni di Tom.
The text has been heavily edited.|Il testo è stato pesantemente modificato.
That must be what love looks like.|Deve essere ciò a cui assomiglia l'amore.
You are in part responsible for it.|Lei ne è in parte responsabile.
The sky is clear and full of stars.|Il cielo è sereno e pieno di stelle
That's not something to joke about.|Non è qualcosa su cui scherzare.
You're not supposed to be here now.|Tu non devi essere qui adesso.
Leave now, or you'll miss the train.|Partite ora o perderete il treno.
He turned a deaf ear to my request.|Non ha ascoltato la mia richiesta.
This room doesn't get much sunlight.|Questa stanza non riceve molta luce del sole.
You didn't have to come so early.|Non dovevate venire così presto.
Tom said his house wasn't locked.|Tom ha detto che la sua casa non era chiusa a chiave.
I have nothing to open the can with.|Non ho niente con cui aprire il barattolo.
I planted a peach tree in my garden.|Io ho piantato un pesco nel mio giardino.
Look at the blackboard, everyone.|Guardate tutti alla lavagna.
Why didn't you come to the party?|Perché non sei venuta alla festa?
Tom is in his car waiting for Mary.|Tom è in macchina che aspetta Mary.
Where did you learn to speak French?|Dove ha imparato a parlare in francese?
She is a native speaker of French.|È madrelingua francese.
I've got no quarrel with you two.|Non ho divergenze con voi due.
"What day is it? ""It's Wednesday."""|"Che giorno è? ""È mercoledì."""
She speaks both English and French.|Lei parla sia l'inglese che il francese.
Tom says he wants to talk to you.|Tom dice che vuole parlarle.
Do you often read books in French?|Leggi spesso dei libri in francese?
She had two accidents within a year.|Lei fece due incidenti in un anno.
His parents acted to calm him down.|I suoi genitori agirono per calmarlo.
I know you'll do what's necessary.|Lo so che farete ciò che è necessario.
Tom is tired after working all day.|Tom è stanco dopo aver lavorato tutto il giorno.
Tom prefers not to talk about it.|Tom preferisce non parlarne.
Tom wasn't the last one to go home.|Tom non è stato l'ultimo ad andare a casa.
They talked over the plan for hours.|Loro discussero il piano per ore.
I'm pretty sure Tom wasn't there.|Sono piuttosto sicura che Tom non fosse lì.
The details of the plan unfolded.|I dettagli del piano si sono realizzati pian piano.
Do you know something I don't know?|Sa qualcosa che io non so?
Do you have a prenuptial agreement?|Ha un accordo prematrimoniale?
Tom has found a good teaching job.|Tom ha trovato un buon lavoro da insegnante.
Tom is here to help us find Mary.|Tom è qui per aiutarci a trovare Mary.
What foods do you know how to cook?|Che cibi sapete cucinare?
Tom accidentally bumped into Mary.|Tom si è accidentalmente imbattuto in Mary.
Don't smoke while you are on duty.|Non fumare quando sei in servizio.
Tom didn't even try to help Mary.|Tom non ha neanche provato ad aiutare Mary.
I liked Tom better with longer hair.|Io preferivo Tom con i capelli lunghi.
Tom has been in Boston for a week.|Tom è stato a Boston per una settimana.
Reduce the size of your portions.|Riducete le dimensioni delle vostre porzioni.
The train was full of passengers.|Il treno era pieno di passeggeri.
Why are people leaving rural areas?|Perché le persone stanno lasciando le aree rurali?
You talk as if you knew everything.|Voi parlate come se sapeste tutto.
Tom will tell us how we can help.|Tom ci dirà come possiamo aiutare.
Is there anybody in the classroom?|C'è qualcuno in aula?
I'm too depressed to do that now.|Io sono troppo depressa per farlo adesso.
I discussed the problem with my mom.|Ho discusso il problema con mia mamma.
The actress is studying her role.|L'attrice sta studiando il suo ruolo.
I'm very good at playing the piano.|So suonare molto bene il pianoforte.
Nobody in my family sings very well.|Nessuno nella mia famiglia canta molto bene.
Tom doesn't have an alibi either.|Nemmeno Tom ha un alibi.
Do you like to travel by yourself?|A te piace viaggiare da sola?
Tom always yells when he's angry.|Tom urla sempre quando è arrabbiato.
There used to be a warehouse here.|C'era un magazzino qua.
Why don't you trim your mustache?|Perché non si accorcia i baffi?
I am convinced that he is innocent.|Sono convinto che sia innocente.
May I take a shower in the morning?|Posso fare una doccia di mattina?
Did you ever hear Tom threaten Mary?|Tu hai mai sentito Tom minacciare Mary?
Do you think Tom really likes Mary?|Pensi che a Tom piaccia davvero Mary?
What was his reaction to this news?|Quale era la sua reazione a questa notizia?
Tom doesn't believe that'll happen.|Tom non crede che capiterà.
I didn't know that you were worried.|Non sapevo che eri preoccupato.
Tom said that he was from Boston.|Tom ha detto che era di Boston.
You've been unlucky, haven't you?|Tu sei stato sfortunato, vero?
Tom slept under a bridge last night.|Tom ha dormito sotto un ponte la scorsa notte.
She advised him to use a bicycle.|Lei gli consigliò di usare una bicicletta.
I'll wait here until Tom comes back.|Aspetterò qua finché non torna Tom.
She doesn't like to speak in public.|Non le piace parlare in pubblico.
Sorry, but I have to work tonight.|Spiacente, ma devo lavorare stasera.
Why do you think I'm sitting here?|Perché pensate che io sia seduta qui?
You hid behind the tree, didn't you?|Vi siete nascosti dietro l'albero, vero?
Tom isn't the right man for the job.|Tom non è l'uomo giusto per il lavoro.
Are you worried about the promotion?|Sei preoccupato per la promozione?
Tom speaks with a southern accent.|Tom parla con un accento meridionale.
I bet it's pretty easy to do that.|Scommetto che è piuttosto facile da fare.
She came in with tears in her eyes.|Lei entrò con le lacrime agli occhi.
What does everyone do after school?|Cosa fanno tutti dopo la scuola?
There is no electricity in the room.|Non c'è elettricità nella stanza.
Tom is taking this very seriously.|Tom sta prendendo ciò molto seriamente.
Tom needed to be taught a lesson.|Bisognava dare una lezione a Tom.
She was very delighted with my gift.|Era molto felice per il mio dono.
Tom is at the library now, isn't he?|Tom è in biblioteca ora, vero?
Tom is going to do that for free.|Tom lo farà gratis.
My feet are small compared to yours.|I miei piedi sono piccoli paragonati ai vostri.
Did you have to rewrite the paper?|Voi avete dovuto riscrivere l'articolo?
Her mother has made her what she is.|Sua madre l'ha resa quella che è.
I don't have anything to give you.|Non ho nulla da darvi.
Tom has just started kindergarten.|Tom ha appena cominciato la scuola materna.
Three people were slightly injured.|Tre persone erano leggermente ferite.
I'm thinking about going on a trip.|Io sto pensando di fare un viaggio.
Do we have a babysitter for tonight?|Noi abbiamo una babysitter per stanotte?
Why are you asking these questions?|Perché stai facendo queste domande?
Have you traveled in Europe before?|Avete viaggiato in Europa prima?
He is learning how to drive a car.|Lui sta imparando a guidare un'auto.
Compare the copy with the original.|Paragoni la copia con l'originale.
Every girl dreams of owning a pony.|Ogni ragazza sogna di avere un pony.
Tom is a better swimmer than Mary.|Tom nuota meglio di Mary.
We've got some questions for you.|Noi abbiamo qualche domanda per lei.
I just recently lost my wife, too.|Anche io ho perso mia moglie recentemente.
The hill was all covered with snow.|La collina era completamente ricoperta di neve.
These paintings are different sizes.|Questi dipinti sono di dimensioni differenti.
I'm going to Australia next week.|Andrò in Australia la settimana prossima.
I'm happy to be able to help you.|Sono felice di essere in grado di aiutarla.
The sky became darker and darker.|Il cielo diventò sempre più scuro.
It is true that he went bankrupt.|È vero che è andato in bancarotta.
Tom sharpened the knives for Mary.|Tom ha affilato i coltelli per Mary.
I really want to be a good teacher.|Io voglio essere veramente un bravo professore.
I'd rather go out than stay at home.|Preferirei uscire che restare a casa.
I'm in love with Tom's girlfriend.|Io sono innamorata della morosa di Tom.
You're not supposed to know that.|Non dovete saperlo.
You'll ask Tom do that, won't you?|Chiederà a Tom di farlo, vero?
Will you come with me to the store?|Verrai con me al negozio?
Do you still think it won't happen?|Pensate ancora che non succederà?
Tom was the one who broke the vase.|Tom è stato quello che ha rotto il vaso.
Tom said nobody had been injured.|Tom disse che nessuno rimase ferito.
Tom was sick, so he couldn't come.|Tom era malato, per cui non è riuscito a venire.
You're supposed to be downstairs.|Deve essere di sotto.
They never said anything about that.|Loro non hanno mai detto nulla a riguardo.
It has never snowed on the island.|Non ha mai nevicato sull'isola.
Olive oil is extracted from olives.|L'olio d'oliva è estratto dalle olive.
Tom is a very well-known novelist.|Tom è un romanziere molto noto.
You often read novels, don't you?|Legge spesso dei romanzi, vero?
Why don't you keep your eyes open?|Perché non tiene gli occhi aperti?
I watched the 4th season of X-files.|Ho guardato la quarta stagione di X-files.
I don't believe Tom is the killer.|Non credo che Tom sia l'assassino.
Here's the map you are looking for.|Ecco la mappa che state cercando.
I don't come to Boston very often.|Io non vengo a Boston molto spesso.
You're a very good tennis player.|Sei una tennista molto brava.
This poor cat almost died of hunger.|Questa povera gatta è quasi morta di fame.
Is eating with chopsticks difficult?|Mangiare con le bacchette è difficile?
Do you like to travel by yourself?|Le piace viaggiare da solo?
I don't like my neighbors very much.|Non mi piacciono molto i miei vicini.
Tom, I want you to speak to Mary.|Tom, voglio che parli con Mary.
This book isn't as easy as that one.|Questo libro non è facile come quello.
Take the first street to the right.|Prendete la prima strada a destra.
I know you've been trying to help.|Lo so che avete provato ad aiutare.
You may have read this book already.|Può avere già letto questo libro.
Tom has no memory of the accident.|Tom non ha ricordi dell'incidente.
Where does your friend come from?|Da dove viene il vostro amico?
Tom is very conservative, isn't he?|Tom è molto conservatore, vero?
He lives across the street from us.|Abita dall'altro della strada rispetto a noi.
Let's not be in too much of a hurry.|Non siamo troppo di fretta.
That white building is a hospital.|Quell'edificio bianco è un ospedale.
You need to lower your standards.|Deve abbassare i suoi standard.
You don't have to apologize to Tom.|Non deve scusarsi con Tom.
Why do you think I didn't do that?|Perché pensi che non l'abbia fatto?
Tom doesn't know why it happened.|Tom non sa perché è successo.
None of you are invited to my party.|Nessuno di voi è invitato alla mia festa.
I'm sure Tom will recognize Mary.|Sono sicuro che Tom riconoscerà Mary.
I remember meeting them somewhere.|Ricordo di averli incontrati da qualche parte.
He believes everything that I say.|Crede a tutto quello che dico.
He can speak just a little English.|Parla appena un po' d'inglese.
Tom didn't even read Mary's letter.|Tom non ha neppure letto la lettera di Mary.
You wouldn't have recognized Tom.|Non avrebbe riconosciuto Tom.
This place is crawling with ants.|Questo posto è pieno di formiche.
Aren't you still working in Boston?|Non state ancora lavorando a Boston?
Tom is going to be alone, isn't he?|Tom sarà da solo, vero?
Could you pass me the pepper, please?|Mi passate il pepe, per piacere?
What do you plan to do this summer?|Cosa intendete fare questa estate?
I assume you're talking about Tom.|Assumo che tu stia parlando di Tom.
Leave your message after the beep.|Lasciate il vostro messaggio dopo il bip.
There were hundreds of people there.|C'erano centinaia di persone lì.
Rich as he is, he is not contented.|Ricco com'è, lui non è contento.
Tom claims he acted in self-defense.|Tom sostiene di aver agito per legittima difesa.
She seems to have found a boyfriend.|Sembra che lei abbia trovato un moroso.
A person is worth more than money.|Una persona vale più dei soldi.
Do you really want to wait for Tom?|Voi volete davvero aspettare Tom?
Tom has just returned from Boston.|Tom è appena tornato da Boston.
People in the town came to help him.|Arrivarono ad aiutarlo delle persone della città.
We've already accomplished a lot.|Noi abbiamo già fatto molto.
Is there a movie theater near here?|C'è un cinema qui vicino?
My mother's friends are my friends.|Gli amici di mia madre sono amici miei.
They want to talk about religion.|Loro vogliono parlare di religione.
Tom and Mary don't trust each other.|Tom e Mary non si fidano l'uno dell'altro.
Which dictionary did you refer to?|A quale dizionario vi siete riferiti?
Are you saying there were problems?|Stai dicendo che c'erano dei problemi?
Tom says he wants to talk to you.|Tom dice che vuole parlarvi.
I know you used to live in Boston.|So che una volta vivevi a Boston.
Does your girlfriend speak French?|La sua ragazza parla il francese?
I'll be seeing Mary this afternoon.|Vedrò Mary questo pomeriggio.
I want to stay home and read a book.|Io voglio restare a casa e leggere un libro.
Why don't you do that by yourself?|Perché non lo fa da sola?
I, however, hate you at the moment.|Io, però, al momento ti odio.
This is something I made for you.|Questo è qualcosa che ho fatto per lei.
Tom was raised by foster parents.|Tom è stato cresciuto da genitori adottivi.
I prefer working to doing nothing.|Preferisco lavorare che non fare niente.
Can you make it before the deadline?|Riesci a farlo prima della scadenza?
Tom doesn't look like he's happy.|Non sembra che Tom sia felice.
I slipped and fell down the stairs.|Sono scivolato e sono caduto dalle scale.
Tom worked as a physical therapist.|Tom ha lavorato come fisioterapista.
Tom is at the supermarket, isn't he?|Tom è al supermercato, vero?
I wish you could have come with me.|Vorrei che tu fossi venuto con me.
You're the only person I can trust.|È l'unica persona di cui posso fidarmi.
When do you plan to come to Boston?|Quando hai intenzione di venire a Boston?
How did you know Tom would be there?|Come lo sapevate che Tom sarebbe stato lì?
I'm fed up with this wet weather.|Io mi sono stufata di questo tempo umido.
The wind is blowing from the north.|Il vento sta soffiando da nord.
This is the first time I've smoked.|Questa è la prima volta che fumo.
What do you think she is doing now?|Cosa pensi che stia facendo ora?
I introduced her to you last week.|Te l'ho presentata la scorsa settimana.
We're still skeptical about this.|Siamo ancora scettici riguardo a questo.
I'm sitting in the railway station.|Io sono seduto nella stazione ferroviaria.
Has Tom ever asked you to help him?|Tom ti ha mai chiesto di aiutarlo?
Tom got an urgent call from Mary.|Tom ricevette una chiamata urgente da Mary.
Have I told you how much I love you?|Ti ho detto quanto ti amo?
I know you don't want to hurt Tom.|Lo so che non volevate ferire Tom.
When did you arrive in Australia?|Quando siete arrivati in Australia?
Let's wait and see what Tom does.|Aspettiamo e vediamo che cosa fa Tom.
He spent the evening reading a book.|Lui ha trascorso la serata leggendo un libro.
Tom doesn't usually drive to work.|Tom di solito non va al lavoro in macchina.
Tom knows Mary can't eat peanuts.|Tom sa che Mary non può mangiare le arachidi.
Tom looked for his name on the list.|Tom cercò il suo nome sull'elenco.
He kept waiting for hours and hours.|Continuò ad aspettare per ore e ore.
What do you plan to do this summer?|Lei cosa intende fare quest'estate?
I can't give you the answer today.|Non le riesco a dare la risposta oggi.
Have you ever heard of Tom Jackson?|Ha mai sentito parlare di Tom Jackson?
I'm having dinner with Tom tomorrow.|Ceno con Tom domani.
Tom says that ghosts aren't real.|Tom dice che i fantasmi non sono reali.
Tom could smell something cooking.|Tom sentiva l'odore di qualcosa che bolliva in pentola.
Tom wrote a letter to Santa Claus.|Tom scrisse una lettera a Babbo Natale.
Tom is going to get fired, isn't he?|Tom verrà licenziato, vero?
Did Tom tell you what his plans are?|Tom ti ha detto quali sono i vostri piani?
He burnt his hand on the hot stove.|Si è bruciato la mano sulla pentola calda.
Today is the best day of my life.|Oggi è il miglior giorno della mia vita.
Someone is standing behind the wall.|C'è qualcuno in piedi dietro la parete.
It is impossible for you to succeed.|È impossibile che lui riesca.
Tom isn't qualified for that job.|Tom non è qualificato per quel lavoro.
Tom is living here now, isn't he?|Tom vive qua adesso, vero?
Do you know Tom's girlfriend's name?|Lo sa il nome della morosa di Tom?
The revolution ushered in a new era.|La rivoluzione portò ad una nuova era.
Do you really want to be like Tom?|Vuole davvero essere come Tom?
My brother and I were very close.|Io e mio fratello erano molto legati.
The boat passed under the bridge.|La barca passò sotto il ponte.
Tom knew Mary had a lot of money.|Tom sapeva che Mary aveva molto denaro.
He was successful in several areas.|Era un uomo di successo in molti settori.
Nothing has been thrown away yet.|Non è ancora stato buttato via nulla.
One billion people speak English.|Un miliardo di persone parla inglese.
Why didn't you go with your mother?|Perché non sei andata con tua madre?
I think Tom just wants to be alone.|Penso che Tom voglia solo stare da solo.
Tom told Mary that he was unlucky.|Tom disse a Mary che era sfortunato.
Is there space for one more person?|C'è posto per una persona in più?
Tom was out of town last weekend.|Tom era fuori città lo scorso weekend.
She has all her suits made to order.|Si fa fare tutti i vestiti su misura.
Tom is leaving next year, isn't he?|Tom se ne va l'anno prossimo, vero?
Tom said Mary wanted to help John.|Tom ha detto che Mary voleva aiutare John.
I told you Tom was really annoying.|Ti ho detto che Tom era davvero fastidioso.
He couldn't understand the sentence.|Non riusciva a capire la frase.
Why did you buy travel insurance?|Perché hai comprato un'assicurazione di viaggio?
Tom has an aunt who is in prison.|Tom ha una zia in prigione.
I don't know how much time we have.|Io non so quanto tempo abbiamo.
Is there anything I can help with?|C'è qualcosa con cui posso aiutare?
They didn't even know where to go.|Non sapevano neppure dove andare.
Do you believe in the power of love?|Crede nel potere dell'amore?
Tom didn't want to be part of it.|Tom non voleva farne parte.
Do you really want to quit school?|Lei vuole veramente abbandonare la scuola?
What'll you be doing this summer?|Voi cosa farete quest'estate?
I live on the outskirts of Boston.|Abito nella periferia di Boston.
I've got things under control now.|Ho le cose sotto controllo ora.
I don't want to tell you my dreams.|Non voglio dirti i miei sogni.
We had to learn the poem by heart.|Noi abbiamo dovuto imparare la poesia a memoria.
What were you doing at Tom's house?|Cosa stava facendo a casa di Tom?
I'm not in love with Tom anymore.|Non sono più innamorata di Tom.
I want to see my children educated.|Voglio vedere i miei figli istruiti.
Tom doesn't trust a thing Mary says.|Tom non si fida di ogni cosa che dice Mary.
Why don't you want to do that now?|Perché non lo vuoi fare adesso?
Let me introduce you to my family.|Lascia che ti presenti alla mia famiglia.
Don't copy other students' homework.|Non copiate i compiti degli altri studenti.
I wish Tom was here with us today.|Io vorrei che Tom fosse qui con noi oggi.
Aren't you busy tomorrow afternoon?|Non è occupata domani pomeriggio?
Everyone seemed sad to see Tom go.|Sembravano tutti tristi di vedere Tom.
Can you explain why Tom isn't here?|Potete spiegare perché Tom non è qui?
Tell him not to be late for school.|Digli di non essere in ritardo per la scuola.
Are you still going to wait for Tom?|Aspetterete ancora Tom?
Can we get out of here now, please?|Possiamo uscire da qui ora, per favore?
I'm not sure if that's a good idea.|Io non sono sicuro se quella sia una buona idea.
Tom doesn't give up easily, does he?|Tom non si arrende facilmente, vero?
I learned a lot about Greek culture.|Ho imparato molto sulla cultura greca.
Do you really want to go to Boston?|Vuoi davvero andare a Boston?
You're more than welcome to come.|Sei più che la benvenuta a venire.
I think I'm in trouble with my wife.|Penso di essere nei guai con mia moglie.
Nobody knows how the fire started.|Nessuno sa com'è partito l'incendio.
Next time it'll be my turn to drive.|La prossima volta toccherà a me guidare.
Since I was thirsty, I drank water.|Dato che avevo sete ho bevuto dell'acqua.
Tom doesn't go to church anymore.|Tom non va più in chiesa.
He entered the room after you left.|È entrato nella stanza dopo che ve ne siete andati.
Don't interrupt me when I'm talking.|Non mi interrompere quando sto parlando.
He read a book written in English.|Ha letto un libro scritto in inglese.
Have the police questioned you yet?|La polizia ti ha già interrogata?
He plays the piano better than me.|Lui suona il piano meglio di me.
Don't break out the champagne yet.|Non stappare ancora lo champagne.
She was slightly better yesterday.|Lei stava un po' meglio ieri.
Do you understand what I just said?|Capite quello che ho appena detto?
Do you really think Tom is honest?|Pensa veramente che Tom sia onesto?
Tom doesn't have enough experience.|Tom non ha abbastanza esperienza.
Tom said he wanted to leave Boston.|Tom ha detto che voleva lasciare Boston.
Tom is going to do that sometime.|Tom lo farà talvolta.
I hope I can find a buyer for this.|Spero di riuscire a trovare un compratore per questo.
Tom wanted me to sit down and relax.|Tom voleva che mi sedessi e mi rilassassi.
She took down a book from the shelf.|Lei prese un libro dallo scaffale.
Tom apologized for wasting our time.|Tom si è scusato per aver sprecato il nostro tempo.
She is a native speaker of French.|È una parlante nativa di francese.
She blamed him for all her problems.|Lo incolpò per tutti i suoi problemi.
Tom likes to watch TV while he eats.|A Tom piace guardare la TV mentre mangia.
They are always arguing about money.|Loro discutono sempre di denaro.
It's been exciting and stimulating.|È stata emozionante e stimolante.
Today I am going to be productive.|Oggi io sarò produttivo.
I told Tom that the bank was closed.|Dissi a Tom che la banca era chiusa.
My brother has been friendly to him.|Mio fratello è stato gentile con lui.
Tom was home with a cold last week.|Tom era a casa col raffreddore la settimana scorsa.
She stopped to smoke a cigarette.|Si è fermata per fumare una sigaretta.
In case of an emergency, dial 110.|In caso di emergenza, chiama il 110.
He is the owner of the liquor shop.|È il proprietario del negozio di liquori.
What's your favorite radio station?|Qual è la tua stazione radiofonica preferita?
I'm sure I have the right number.|Io sono sicuro di avere il numero esatto.
We have a conflict of interest here.|Abbiamo un conflitto di interessi qui.
Tom, you would make a great father.|Tom, tu saresti un ottimo padre.
I think Tom won't come to our party.|Io penso che Tom non verrà alla nostra festa.
You're going to need your umbrella.|Le servirà il suo ombrello.
You might need the calculator now.|Ti potrebbe servire la calcolatrice ora.
Tom doesn't play tennis very often.|Tom non gioca molto spesso a tennis.
Tom gave us a ride to the station.|Tom ci diede un passaggio in stazione.
Tom's limousine is parked in front.|La limousine di Tom è parcheggiata in testa.
He affirmed that he saw the crash.|Lui ha affermato di aver visto l'incidente.
I have some wonderful news for you.|Ho qualche notizia meravigliosa per voi.
Men fear what they can't control.|Gli uomini temono quello che non riescono a controllare.
Tom doesn't think we should do that.|Tom non pensa che dovremmo farlo.
I could recite the story by heart.|Potrei recitare la storia a memoria.
Tom was the one who suggested that.|Tom è stato quello che l'ha suggerito.
Why don't you watch something else?|Perché non guardate qualcos'altro?
You shouldn't break your promise.|Non dovrebbe infrangere la sua promessa.
Tom is doing very well in French.|Tom sta andando molto bene in francese.
Do you really think Tom is creative?|Tu pensi veramente che Tom sia creativo?
What do you know about this place?|Cosa sa di questo posto?
Tom promised he wouldn't be late.|Tom promise che non sarebbe stato in ritardo.
Tom is really getting tired of this.|Tom si sta davvero stancando di ciò.
Let's throw all these things away.|Buttiamo via tutte queste cose.
Tom and I are just like brothers.|Io e Tom siamo proprio come fratelli.
Why do you study French every day?|Perché studi il francese ogni giorno?
You can't do anything about that.|Lei non può fare niente a riguardo.
I have a mosquito bite on my elbow.|Io ho un morso di zanzara sul gomito.
Tom and Mary seem so happy together.|Tom e Mary sembrano così felici assieme.
Are you going to the concert tonight?|Tu vai al concerto questa sera?
The clock is made in Switzerland.|L'orologio è fabbricato in Svizzera.
Who are you and why are you here?|Chi sei e perché sei qui?
Tom didn't understand the question.|Tom non ha capito la domanda.
Tom was the one who suggested that.|Tom fu quello che l'ha suggerito.
I'm a member of the swimming club.|Sono un membro del club di nuoto.
We've got some questions for you.|Abbiamo qualche domanda per voi.
He cut some branches off the tree.|Ha tagliato alcuni rami dell'albero.
You have to memorize this sentence.|Voi dovete memorizzare questa sentenza.
Tom won't come to today's meeting.|Tom non verrà alla riunione di oggi.
Tom was very angry and I was, too.|Tom era molto arrabbiato e anche io lo ero.
We didn't go to Boston last year.|Noi non siamo andati a Boston l'anno scorso.
I've been accused of being pushy.|Sono stato accusato di essere assillante.
Is it a little boy or a little girl?|È un bambino o una bambina?
Why do you only watch horror movies?|Perché guardate solo i film dell'orrore?
The food didn't taste all that bad.|Il cibo non aveva un sapore così cattivo.
Tom has trouble remembering names.|Tom ha dei problemi nel ricordarsi i nomi.
You didn't see anything, did you?|Non ha visto niente, vero?
I wish to go to Paris to study art.|Vorrei andare a Parigi a studiare arte.
Nobody seems to know where Tom is.|Nessuno sembra sapere dov'è Tom.
Tom covered his mouth with his hand.|Tom si coprì la bocca con la mano.
It is very kind of you to say so.|È molto gentile da parte vostra dire così.
The old couple gave him up for lost.|La vecchia coppia lo diede per perso.
How can you stand all these noises?|Come fa a reggere tutti questi rumori?
You're the worst liar in the world.|Sei la peggior bugiarda del mondo.
Tom asked me for my phone number.|Tom mi ha chiesto il mio numero di telefono.
The child took her mother's hand.|La bambina ha afferrato la mano di sua madre.
I've come all the way from Boston.|Io sono venuto fin da Boston.
Have I told you how I broke my leg?|Ti ho detto come mi sono rotto la gamba?
I was your mother's first boyfriend.|Io sono stato il primo ragazzo di vostra madre.
I knew you weren't from around here.|Lo sapevo che non era di queste parti.
Can you think of something better?|Riesci a pensare qualcosa di meglio?
Tom said Mary was a good swimmer.|Tom disse che Mary era una brava nuotatrice.
That town has many tall buildings.|Quella città ha molti edifici alti.
I'd like to have dinner with you.|Vorrei cenare con voi.
The plane was struck by lightning.|L'aereo è stato colpito da un fulmine.
It's time to tell people the truth.|È ora di dire la verità alle persone.
